mi;mj;Oi;Dj
84585;84585;7899;8000
14058;14058;2276;1044
40985;40985;8510;4284
20293;20293;5104;1216
34078;34078;8395;1742
52727;52727;12137;7557
27695;27695;3540;5171
152061;152061;38662;20772
42337;42337;10940;2833
34726;34726;7239;2393
128852;128852;9341;11943
73345;73345;8986;6725
61792;61792;9326;7548
79195;79195;6436;3653
58683;58683;10496;5491
47910;47910;5384;10982
378098;378098;36666;31105
542899;542899;64608;76711
225116;225116;26412;29040
90914;90914;11268;6440
40909;40909;8716;14678
29659;29659;4956;3234
12806;12806;2865;870
158383;158383;47063;33244
63251;63251;8201;6857
111564;111564;14728;12520
39188;39188;4658;4731
121065;121065;27076;26882
22908;22908;3802;2823
21038;21038;2959;1037
6105;6105;609;331
13879;13879;1463;736
5857;5857;985;383
19799;19799;916;1578
11976;11976;922;836
36534;36534;5105;1725
30150;30150;3554;1414
87697;87697;27387;8194
45621;45621;1908;4015
42521;42521;4829;2358
15342;15342;1529;852
3148;3148;194;123
208016;208016;51613;16125
6031;6031;926;305
114996;114996;2870;4578
6614;6614;1358;206
14950;14950;1470;2244
67367;67367;15858;7109
26142;26142;1973;2229
37077;37077;6763;1817
4743;4743;653;474
4075;4075;599;299
57813;57813;1743;2221
27210;27210;2832;2438
45516;45516;8446;2880
5144;5144;774;323
6061;6061;614;433
3283;3283;260;98
3562;3562;350;256
11792;11792;1515;532
14154;14154;1848;731
28439;28439;755;1898
6818;6818;906;463
10513;10513;1700;1096
48080;48080;1655;3025
13926;13926;1907;1045
10227;10227;1104;710
10692;10692;1385;765
48109;48109;6810;2145
32080;32080;7612;1781
33924;33924;9719;2178
8831;8831;1871;555
27740;27740;8214;3006
34402;34402;1441;1208
19456;19456;3078;943
7545;7545;1028;726
13184;13184;1592;976
38369;38369;4768;2718
12623;12623;1646;814
69451;69451;4547;7646
11411;11411;1455;1316
10569;10569;2423;491
11814;11814;1603;665
660448;660448;21779;107787
39685;39685;5817;2014
44437;44437;12391;2416
33194;33194;4017;1936
16612;16612;4351;656
68190;68190;4026;4838
43953;43953;1764;1982
35143;35143;1505;2575
65521;65521;9495;5270
11667;11667;1126;700
3436;3436;457;272
70641;70641;18349;7915
24894;24894;3041;2243
38972;38972;6866;1333
43182;43182;2781;1835
20107;20107;1364;1401
9287;9287;857;376
563299;563299;15682;77576
57491;57491;20337;2884
48996;48996;4454;2980
11508;11508;2096;635
9089;9089;467;506
18486;18486;803;1123
16741;16741;529;351
78153;78153;7707;9181
338391;338391;84869;53300
35630;35630;1404;1586
43560;43560;9924;2734
62779;62779;1195;946
19182;19182;1570;1181
21137;21137;700;700
115367;115367;3070;3726
100399;100399;2474;1926
1915;1915;105;198
7935;7935;185;203
7609;7609;67;127
20411;20411;1483;2168
181269;181269;3916;4270
19009;19009;1957;1033
75726;75726;4128;2326
63775;63775;1022;1165
7422;7422;170;134
322959;322959;6167;6266
44479;44479;1302;1073
103069;103069;12859;10646
31615;31615;1756;4338
284834;284834;24784;27123
10995;10995;1594;865
660486;660486;72306;169045
62380;62380;16120;5896
1934;1934;203;236
24262;24262;1230;652
70548;70548;3743;4553
24530;24530;654;447
7226;7226;143;138
23791;23791;1876;1784
445342;445342;73838;74254
1547;1547;124;48
84992;84992;13977;6474
91292;91292;20970;8202
1281666;1281666;45444;146050
72392;72392;13483;5611
181412;181412;34087;14545
49984;49984;6673;3314
373638;373638;37001;26273
129144;129144;6142;11471
62761;62761;6482;4837
597635;597635;135256;73484
174083;174083;29515;23551
152598;152598;12141;10595
5974;5974;382;692
58802;58802;13527;3551
135758;135758;5245;13749
433501;433501;80379;77787
41765;41765;4637;3383
83382;83382;9880;7121
37914;37914;5513;2995
64151;64151;7224;6808
90366;90366;8673;5575
213674;213674;32754;46884
251798;251798;27241;70602
550864;550864;115780;78064
35112;35112;1714;1883
280843;280843;4753;9680
148644;148644;22031;6680
4946;4946;771;1059
129313;129313;17484;9838
14261;14261;3004;2056
40672;40672;5534;3779
45586;45586;6645;2855
89605;89605;8954;6956
45932;45932;6433;4545
22821;22821;4675;1698
213295;213295;14996;19400
470658;470658;30023;23076
94643;94643;12727;8192
120327;120327;22127;9910
312090;312090;37579;53983
319250;319250;20505;21616
120044;120044;6677;8126
45936;45936;3610;2425
120293;120293;10784;10667
46486;46486;4366;2535
138687;138687;22413;11923
750097;750097;134063;201193
18236;18236;3335;6951
267066;267066;57133;29593
94556;94556;17299;9380
43602;43602;14653;2074
1517550;1517550;139720;230374
46302;46302;13832;2606
18080;18080;1981;1861
150336;150336;18717;7602
37546;37546;5499;6043
80023;80023;9164;4535
6556;6556;979;614
42238;42238;9684;1906
41373;41373;4321;2368
41624;41624;5490;7941
57565;57565;5501;4433
43863;43863;3703;2001
202897;202897;36253;21362
47722;47722;7250;4539
369993;369993;59179;33343
28080;28080;6069;4481
381751;381751;50950;27268
50648;50648;14573;5349
167090;167090;42637;33546
85433;85433;13519;11366
621602;621602;73361;77266
123546;123546;28942;13460
26167;26167;5432;2326
142552;142552;18523;16220
11211;11211;1226;1543
165740;165740;23943;13142
16658;16658;2505;1557
23478;23478;3226;2779
120937;120937;3077;10777
142651;142651;36181;15144
15185;15185;4356;1348
309969;309969;14788;55357
52537;52537;6947;5133
34068;34068;6331;3629
42768;42768;5727;4351
32502;32502;5170;2242
38264;38264;5117;1402
67394;67394;10625;6319
30722;30722;3945;1767
96413;96413;27648;10776
24595;24595;5485;2389
23454;23454;4960;3309
125761;125761;8974;16323
55797;55797;6032;7169
379616;379616;23455;59715
66271;66271;4160;8347
21386;21386;2877;1485
196629;196629;8949;12768
20678;20678;4721;1654
52647;52647;11069;4446
61351;61351;10897;5359
69567;69567;13390;5055
20119;20119;4163;1335
216014;216014;50256;28819
9958;9958;1691;919
35466;35466;3884;2768
28818;28818;4404;2261
36108;36108;5423;3394
66215;66215;8896;5142
91582;91582;8300;6464
110757;110757;23154;12001
320677;320677;26814;69036
19181;19181;4776;1056
253791;253791;21570;26874
104646;104646;6919;6678
29881;29881;4685;1753
37217;37217;5503;2894
164614;164614;32055;15656
3058;3058;428;219
17023;17023;620;718
3574;3574;227;101
7260;7260;793;395
28220;28220;1874;2195
35460;35460;634;1462
5364;5364;452;384
2032;2032;93;260
9094;9094;1282;416
1782;1782;187;61
9350;9350;271;391
4143;4143;380;115
13537;13537;1732;909
25897;25897;740;1940
4181;4181;363;172
7275;7275;1178;339
18741;18741;582;2115
6267;6267;476;266
4498;4498;766;295
5972;5972;160;294
3458;3458;316;172
4367;4367;617;152
7453;7453;418;422
2640;2640;169;81
7847;7847;583;742
4792;4792;234;111
2196;2196;84;108
5540;5540;1151;322
3741;3741;265;115
3139;3139;862;141
1353;1353;66;48
16481;16481;662;1625
8075;8075;826;623
1671;1671;81;189
2930;2930;163;94
2295;2295;239;300
1193;1193;74;62
5815;5815;756;334
11276;11276;1163;626
21802;21802;1833;1755
24131;24131;9409;2737
3895;3895;437;297
5832;5832;1156;317
2904;2904;190;114
4576;4576;341;557
24253;24253;6726;2008
2083;2083;211;92
2884;2884;288;269
148281;148281;3851;17449
6595;6595;1381;449
88565;88565;2204;7907
3363;3363;106;231
2693;2693;110;117
10016;10016;1126;395
2675;2675;510;156
12466;12466;206;781
7454;7454;465;356
2772;2772;1082;512
1556;1556;181;85
9050;9050;267;345
6430;6430;170;264
8849;8849;2070;537
12584;12584;2930;6728
5974;5974;248;295
21652;21652;1000;2454
2519;2519;231;107
71330;71330;10654;23639
37586;37586;5413;2893
16537;16537;2540;1087
12367;12367;2523;1122
105823;105823;17894;9676
87965;87965;9626;9497
39854;39854;5621;1632
12826;12826;3659;928
29475;29475;5507;2737
56742;56742;14133;3037
35912;35912;13045;3561
15540;15540;3736;1203
29862;29862;4075;1881
7976;7976;1374;348
33565;33565;5577;1809
48014;48014;5248;9217
14532;14532;2693;1056
46802;46802;3131;2419
569891;569891;36917;150817
11731;11731;1736;921
17423;17423;2619;1897
43156;43156;8549;5139
37279;37279;2812;3796
28806;28806;8455;2324
16625;16625;1937;466
39270;39270;6929;2246
48152;48152;7074;5229
29447;29447;3932;2585
20659;20659;5748;1471
62909;62909;4236;4642
14332;14332;2668;509
58128;58128;4983;11882
307896;307896;13125;49144
6786;6786;980;197
28105;28105;3461;2023
25578;25578;3255;1918
53563;53563;10708;3272
19797;19797;3318;1325
25522;25522;3738;2838
31115;31115;2622;2772
22295;22295;5316;869
8088;8088;1890;414
17929;17929;2683;1950
10984;10984;2549;497
44294;44294;11204;4631
17499;17499;2250;607
382032;382032;26463;55693
7954;7954;756;678
27101;27101;3222;2156
39926;39926;3927;1938
11367;11367;2154;567
31340;31340;5629;1532
39086;39086;8700;5374
49015;49015;5923;5537
24653;24653;4431;2098
20386;20386;4061;1012
91837;91837;4876;18454
27776;27776;6170;2201
26767;26767;4116;4220
69498;69498;10056;10259
11086;11086;2919;566
38961;38961;5614;4301
134768;134768;24906;7473
5740;5740;1746;614
19757;19757;4430;761
32450;32450;3600;4838
20118;20118;4026;1317
7631;7631;889;874
4945;4945;804;439
16050;16050;4780;1063
62315;62315;4296;9787
28400;28400;3130;3087
51910;51910;11093;5324
54433;54433;15377;4486
182023;182023;35364;20754
21127;21127;1547;1366
11370;11370;2421;1078
71170;71170;8985;7545
897472;897472;19154;80752
17712;17712;3192;1760
12370;12370;2899;886
153048;153048;18986;26279
130449;130449;32829;11718
51271;51271;13581;2980
7259;7259;2042;862
17667;17667;3404;1649
17808;17808;4729;902
5508;5508;1426;327
38276;38276;3105;4604
107198;107198;13282;22773
16842;16842;2148;776
34895;34895;4628;2277
23102;23102;3334;1893
126638;126638;31799;31632
88809;88809;25715;10762
55109;55109;2830;3311
13004;13004;1121;459
80130;80130;3194;5352
22497;22497;3177;1296
8854;8854;2729;565
2148;2148;532;149
38628;38628;7864;2027
23590;23590;4975;2379
6594;6594;578;493
17645;17645;4468;617
57733;57733;15445;2846
4093;4093;389;147
32359;32359;2259;1426
237974;237974;12098;30331
1392931;1392931;25181;66309
8418;8418;1711;813
729;729;161;50
17204;17204;3093;817
89306;89306;7146;11695
241767;241767;42081;16861
152415;152415;4873;9881
8866;8866;338;462
1790;1790;226;85
7976;7976;557;667
37674;37674;1146;1836
16470;16470;3633;977
34147;34147;5146;2342
32194;32194;8316;1451
20647;20647;1321;5886
12905;12905;3481;564
335227;335227;8101;8497
11549;11549;1823;1259
6516;6516;1698;534
30438;30438;4632;1910
8285;8285;775;444
26031;26031;6890;4052
46659;46659;4899;2957
7688;7688;195;467
11006;11006;3384;456
3730;3730;364;280
3864;3864;527;326
9235;9235;838;283
491675;491675;134925;80156
3206;3206;255;104
20390;20390;2473;1697
78021;78021;16444;12333
14026;14026;1725;984
3966;3966;341;312
36363;36363;5437;2832
74978;74978;23521;4358
1904;1904;181;96
3996;3996;331;352
4099;4099;195;177
7072;7072;919;312
2975;2975;109;155
6222;6222;641;1472
2218899;2218899;132557;451850
14985;14985;507;722
18561;18561;1175;944
5327;5327;1316;332
432976;432976;131805;37475
20013;20013;2197;1740
2762;2762;186;150
10248;10248;654;598
3828;3828;453;140
13120;13120;1592;883
18297;18297;1322;843
121123;121123;7111;6566
2162;2162;191;172
111360;111360;26865;10403
679622;679622;8147;14097
33001;33001;2528;1977
18576;18576;2838;1562
31242;31242;4880;1861
21804;21804;2567;1962
4344;4344;651;403
7771;7771;723;359
1622;1622;186;115
354452;354452;103382;39855
9458;9458;1750;1250
17867;17867;2524;1662
16252;16252;1216;840
14467;14467;1030;811
250158;250158;44112;19243
4872;4872;355;385
20814;20814;1599;1236
1406;1406;198;169
6928;6928;1314;471
18628;18628;1959;1018
22744;22744;1164;1303
110595;110595;10466;8757
111379;111379;7017;22154
23552;23552;3895;2162
89023;89023;23781;8386
36602;36602;1981;2641
3782;3782;272;451
8229;8229;1069;714
5369;5369;370;449
4724;4724;580;313
48073;48073;12115;3352
3400578;3400578;96499;288190
62110;62110;10274;5235
5537;5537;1111;546
6093;6093;627;441
97589;97589;24457;11442
3351;3351;244;236
73277;73277;13083;3197
569463;569463;12220;8992
32321;32321;4832;2157
22716;22716;3091;1193
41100;41100;8073;2347
31960;31960;3494;1888
23185;23185;1629;1491
33627;33627;1009;1251
3344;3344;274;219
76596;76596;12940;6994
23857;23857;1498;1441
1771;1771;389;137
8763;8763;1206;530
14391;14391;2162;1656
35604;35604;4599;3193
2207;2207;287;259
252051;252051;8824;31264
5281;5281;464;223
39326;39326;3868;2998
126811;126811;33627;7777
20785;20785;3269;2076
15446;15446;1274;884
71313;71313;18723;10151
23743;23743;5648;3267
414;414;57;145
859;859;67;94
43653;43653;1820;2444
4468;4468;231;219
356;356;46;89
3379;3379;272;133
31549;31549;2721;2215
4253;4253;274;277
48499;48499;2085;3680
14709;14709;1183;691
17762;17762;4009;719
5866;5866;509;422
19210;19210;2686;1376
15657;15657;2700;1070
15335;15335;1770;1626
70154;70154;13874;4712
22051;22051;2258;1717
3057;3057;367;270
12309;12309;1367;711
17044;17044;2439;2183
67;67;7;49
242628;242628;4704;8437
6550;6550;891;417
8205;8205;399;363
213517;213517;6225;9312
851;851;102;219
12940;12940;1337;1151
10941;10941;2272;1140
4746;4746;625;374
3738;3738;340;166
37957;37957;3549;2636
47297;47297;1517;752
39304;39304;8086;1960
2360;2360;252;157
116009;116009;6710;7417
24238;24238;3351;1720
5151;5151;593;297
9698;9698;714;610
19117;19117;2865;747
293768;293768;64945;26286
20121;20121;794;925
13048;13048;2312;2392
1426;1426;134;82
59203;59203;3502;3597
45124;45124;4347;2334
15072;15072;3143;760
15802;15802;766;1151
313645;313645;9442;17913
9006;9006;463;474
2185;2185;228;453
84966;84966;15125;7476
27026;27026;4113;1742
22756;22756;2933;1799
88495;88495;24336;7187
10016;10016;662;1475
16809;16809;585;627
41133;41133;4151;2475
113546;113546;9549;33747
7304;7304;394;298
9139;9139;2251;440
104312;104312;32331;9803
3326;3326;181;217
3047;3047;324;188
14314;14314;2084;654
13137;13137;460;567
7828;7828;934;477
887;887;244;34
16000;16000;3178;1114
43080;43080;14015;7041
11495;11495;976;619
47372;47372;8257;3136
10469;10469;1016;834
8946;8946;1326;562
22246;22246;5890;846
67138;67138;11228;6978
6186;6186;534;368
2935;2935;319;139
16361;16361;711;831
3302;3302;538;278
25224;25224;2264;1439
3186;3186;475;228
174706;174706;7542;16072
6809;6809;1010;1988
53597;53597;2471;1325
9674;9674;703;577
1393;1393;142;157
1693;1693;112;97
4077;4077;165;365
8378;8378;893;457
1446219;1446219;168366;138655
126555;126555;3700;7849
1081;1081;71;37
12761;12761;1067;597
1850;1850;243;90
28118;28118;1780;4326
104010;104010;2236;2472
812280;812280;36727;127307
13779;13779;2618;781
20871;20871;2951;1113
35291;35291;8770;1846
3404;3404;321;280
25926;25926;1151;1272
44856;44856;974;736
48140;48140;10645;1879
84088;84088;5720;4997
61758;61758;4846;5235
32663;32663;7905;3697
10909;10909;976;621
30373;30373;2183;3060
193117;193117;1365;2494
41188;41188;4581;2082
5284;5284;437;396
131664;131664;2385;8177
14676;14676;523;1134
20082;20082;2168;734
249967;249967;71017;32935
32408;32408;9137;1338
7173;7173;608;373
48793;48793;10887;2691
36752;36752;5641;2380
7322;7322;438;619
17943;17943;959;910
12182;12182;444;679
11600;11600;921;3402
6005;6005;202;350
42745;42745;4460;5159
91391;91391;4484;3544
20422;20422;971;1385
921;921;80;169
238994;238994;51448;28640
14371;14371;1113;878
10860;10860;1066;888
4735;4735;207;142
8485;8485;259;593
33779;33779;1356;1010
8238;8238;1358;548
6046;6046;754;375
12405;12405;363;408
7129;7129;1951;560
1435;1435;161;67
1961;1961;279;101
898387;898387;27025;78466
14413;14413;830;654
22763;22763;1695;505
18842;18842;723;647
29736;29736;5775;5380
40735;40735;8182;2878
25224;25224;1193;936
368536;368536;22624;12659
15215;15215;2992;1242
90354;90354;2309;2038
2509;2509;135;155
196533;196533;26641;21839
35974;35974;5414;2793
36994;36994;3167;4234
29702;29702;3564;1929
146571;146571;5493;19856
6459;6459;1708;881
45417;45417;8115;2162
6901;6901;2339;260
23233;23233;3427;2454
28226;28226;7683;2390
26277;26277;1801;744
63400;63400;4213;3238
58039;58039;5489;7593
44216;44216;4038;6298
57418;57418;10035;6717
38305;38305;3435;2003
79236;79236;17662;22428
12926;12926;2345;3449
11400;11400;3637;820
31894;31894;7762;3945
13705;13705;3647;1200
189453;189453;81468;129253
65615;65615;16384;10615
5048;5048;705;560
60371;60371;23176;4439
6871;6871;1439;657
30496;30496;10150;2990
18419;18419;3192;1405
26978;26978;2235;2467
15623;15623;3143;1083
51078;51078;15414;8905
22121;22121;6996;1830
29245;29245;6641;3314
6926;6926;2605;756
12472;12472;2638;1099
259903;259903;72725;39740
12652;12652;4142;2893
5091;5091;1784;107
34262;34262;7369;4449
9017;9017;2794;496
16395;16395;2267;846
24533;24533;7729;3984
9989;9989;2246;1885
969749;969749;248605;228178
55139;55139;16367;6904
13874;13874;3746;640
20047;20047;7024;1386
47286;47286;9262;2022
59209;59209;17594;11634
16657;16657;3381;2148
34780;34780;10043;2480
16863;16863;5979;3844
17917;17917;5245;757
15244;15244;5761;1358
11560;11560;2240;3230
37355;37355;3225;2208
86320;86320;28762;19494
262300;262300;61444;75380
57930;57930;9227;7275
2536;2536;299;181
29728;29728;8851;6681
48102;48102;12534;10815
6630;6630;2201;494
16803;16803;3765;5493
13146;13146;4622;1882
11567;11567;1100;1769
23589;23589;3107;995
169599;169599;53933;40918
25627;25627;7654;2657
13146;13146;2636;630
12520;12520;3539;1039
9207;9207;2438;490
32380;32380;3071;3673
9932;9932;2136;1027
83629;83629;8697;10319
14445;14445;3896;1085
13462;13462;5508;1232
13093;13093;1154;1568
12259;12259;2561;777
15725;15725;2258;2128
25881;25881;6597;2674
23177;23177;4100;673
19407;19407;3937;1335
61745;61745;19081;4237
22377;22377;8005;1966
19720;19720;2152;2966
33047;33047;8736;8358
280813;280813;99906;35360
35127;35127;5592;6443
6983;6983;2009;1932
8809;8809;1737;2000
85778;85778;28994;20247
20808;20808;4542;3423
67725;67725;17817;9348
30308;30308;4276;2310
23403;23403;5476;1532
35075;35075;6082;3021
33081;33081;2972;3293
17482;17482;4322;1565
90395;90395;28904;10076
92446;92446;34268;12976
6829;6829;2205;1357
12504;12504;2328;1611
44598;44598;5471;4191
31584;31584;8509;3988
51103;51103;9649;7555
16718;16718;4158;956
40123;40123;5507;4662
27599;27599;3954;2772
56297;56297;21794;13702
128283;128283;57580;61888
6299;6299;1075;4725
17367;17367;3732;9164
6349;6349;1870;1096
45049;45049;9067;23472
199184;199184;57952;42469
4289;4289;1064;1048
16897;16897;5985;6059
6303;6303;2037;1316
48411;48411;4604;15375
5665;5665;1208;2462
21498;21498;9124;28669
10377;10377;4917;7941
8346;8346;1746;2315
19279;19279;5586;15698
6837;6837;1215;4765
146437;146437;31637;35321
40468;40468;5464;19099
22354;22354;6474;5892
6867;6867;1192;2544
65269;65269;5887;28989
35135;35135;13666;13311
10290;10290;4989;2207
15416;15416;3380;6922
180150;180150;37549;46351
234403;234403;35819;110705
3904;3904;595;4445
33740;33740;7949;10474
11566;11566;4397;1020
100565;100565;23915;29994
15859;15859;3310;5128
197790;197790;37364;105467
94911;94911;16607;42478
24747;24747;6529;16767
23853;23853;5901;6850
63677;63677;16996;9180
425257;425257;93040;45644
19520;19520;4685;6596
11998;11998;2021;11526
23585;23585;5854;16075
16428;16428;1254;1142
20551;20551;5099;1801
142475;142475;13063;10448
66616;66616;3359;7821
64525;64525;1455;817
345238;345238;56458;16320
4064;4064;435;376
92948;92948;5591;6206
32603;32603;7996;2731
7260;7260;544;398
49347;49347;7814;10366
2397;2397;197;104
74698;74698;1996;2602
67194;67194;3385;2641
71558;71558;10081;2548
25953;25953;2078;1205
1737034;1737034;60376;223652
231969;231969;23780;10251
33362;33362;2422;760
19161;19161;2019;1012
68600;68600;5281;3988
10184;10184;1136;709
49405;49405;8206;3147
39564;39564;1320;1065
20984;20984;1349;837
11732;11732;1505;654
700820;700820;94935;43521
14077;14077;382;399
102979;102979;9726;8870
9872;9872;2227;526
606024;606024;110657;45921
417939;417939;6198;16655
40066;40066;4438;1276
207355;207355;26705;14861
3824;3824;695;188
55180;55180;3131;4473
166814;166814;6219;3281
40740;40740;2097;3411
222581;222581;3833;3661
15557;15557;2684;597
75905;75905;15628;5280
25535;25535;3861;3633
14702;14702;1500;961
25447;25447;5097;7028
96784;96784;7778;20829
7582;7582;1126;403
10330;10330;1653;775
7403;7403;1761;350
47579;47579;6724;3126
7160;7160;685;369
11299;11299;1735;1384
34453;34453;2225;2858
20203;20203;4752;960
32667;32667;7623;4277
12669;12669;1862;2194
68652;68652;4528;9733
28000;28000;3481;2497
42190;42190;11581;4724
200073;200073;7612;30032
16919;16919;2159;1687
22108;22108;4687;698
37710;37710;3067;2676
27329;27329;1597;1506
56598;56598;7474;4615
35519;35519;7535;3248
25957;25957;4344;1979
62980;62980;4905;4876
27078;27078;6520;1855
28253;28253;2860;3336
81866;81866;4809;11994
14583;14583;3114;533
14943;14943;3941;547
26562;26562;2395;1656
47427;47427;5321;11715
8196;8196;1414;263
7514;7514;1499;1502
9131;9131;577;737
29334;29334;5380;1481
51589;51589;13862;6721
79220;79220;5249;6328
28262;28262;1836;2041
10343;10343;1615;937
15446;15446;2175;1020
12999;12999;1816;480
16089;16089;3491;1062
7321;7321;760;636
9592;9592;1637;953
23404;23404;2266;2026
42903;42903;9982;3337
9719;9719;782;606
17693;17693;2178;2910
5873;5873;1502;254
87986;87986;5929;11561
25708;25708;2718;1076
18643;18643;4190;864
16866;16866;1107;2627
44963;44963;3123;3738
15013;15013;2822;655
226778;226778;9956;26947
13804;13804;3676;1477
15674;15674;2221;834
40631;40631;12958;5912
55195;55195;9294;6651
33557;33557;5235;2295
52468;52468;12820;7078
17243;17243;2231;2253
426526;426526;13078;36983
85897;85897;17106;10513
27961;27961;1547;1022
43287;43287;7130;4407
39858;39858;7024;3850
93142;93142;8620;13224
5088;5088;1426;287
97296;97296;14141;9710
10024;10024;985;784
49597;49597;7390;3407
33647;33647;6042;3552
19105;19105;4139;2885
22780;22780;4547;4007
6861;6861;1278;903
19100;19100;2218;1653
74021;74021;15492;11270
24316;24316;3723;2584
149577;149577;31559;12468
20187;20187;4722;1798
107120;107120;4765;12239
16137;16137;3897;894
20740;20740;1795;1070
29641;29641;3974;2494
82887;82887;8560;3880
125834;125834;8657;10375
43384;43384;4936;5161
15832;15832;3236;1331
4562;4562;274;915
940164;940164;82374;118751
40899;40899;3868;3389
35634;35634;8660;2141
36776;36776;2775;3772
160971;160971;25142;33389
82317;82317;21043;16657
7213;7213;1631;702
36804;36804;12370;3334
41319;41319;7759;2876
67182;67182;6649;5597
15822;15822;1241;1219
188831;188831;28468;16536
17924;17924;2875;1335
152307;152307;16784;10106
15347;15347;1230;1219
63155;63155;17669;9420
55225;55225;5973;8681
16196;16196;1127;1232
40664;40664;8024;2505
112646;112646;7060;7924
19680;19680;1688;1789
27010;27010;4051;3333
28056;28056;4756;1707
21033;21033;2542;1982
93759;93759;17610;10776
16036;16036;2153;1620
117493;117493;31551;16416
360767;360767;73077;89607
51731;51731;8182;5242
23154;23154;4886;1497
156763;156763;20664;27423
75555;75555;5472;11072
32014;32014;1071;646
11461;11461;623;640
33698;33698;547;2335
15639;15639;410;725
12052;12052;1364;718
5887;5887;768;368
35804;35804;728;318
12538;12538;1135;328
4882;4882;275;180
7075;7075;401;245
81607;81607;2234;1985
14573;14573;1306;717
66533;66533;1536;1444
2407;2407;80;180
25786;25786;788;1111
8807;8807;424;605
26560;26560;1056;482
5920;5920;362;198
37613;37613;816;1768
18251;18251;373;2675
19742;19742;1512;378
8289;8289;239;296
6644;6644;514;238
