species,species_registry_abbreviation,species_registry_identifier,strain,strain_registry_abbreviation,strain_registry_identifier
Callithrix jacchus,NCBI,NCBI:txid9483,default,,
Homo sapiens,NCBI,NCBI:txid9606,default,,
Macaca mulatta,NCBI,NCBI:txid9544,default,,
Mus musculus,NCBI,NCBI:txid10090,C57BL/6J,MGI,MGI:3028467
Mus musculus,NCBI,NCBI:txid10090,BALB/c,MGI,MGI:2159737
Mus musculus,NCBI,NCBI:txid10090,Unknown,,
Rattus norvegicus,NCBI,NCBI:txid10116,default,,
Gallus gallus,NCBI,NCBI:txid9031,default,,
Oryctolagus cuniculus,NCBI,NCBI:txid9986,default,,
Cavia porcellus,NCBI,NCBI:txid10141,default,,
Carpa hircus,NCBI,NCBI:txid9925,default,,
Equus asinus,NCBI,NCBI:txid9793,default,,
Lama glama,NCBI,NCBI:txid9844,default,,
Vicuna pacos,NCBI,NCBI:txid30538,default,,