address_id,address,match,matchtype,parsed,coordinate,tigerlineid,side,statefp,countyfp,tract,block
"193","131 W 104TH STREET, CHICAGO, IL, 60628","Match","Exact","131 W 104TH ST, CHICAGO, IL, 60628","-87.626423198511,41.705249477086","605524253","L","17","031","491000","4018"
"394","1618 N WELLS STREET, CHICAGO, IL, 60614","Match","Exact","1618 N WELLS ST, CHICAGO, IL, 60614","-87.634809700967,41.911892290885","605838332","R","17","031","071500","1006"
"198","1310-1314 W FILLMORE STREET, CHICAGO, IL, 60607","Match","Non_Exact","1314 W FILLMORE ST, CHICAGO, IL, 60607","-87.659575499336,41.86864344536","111802947","R","17","031","283200","1009"
"112","11041-11051 S HALE AVENUE, CHICAGO, IL, 60643","Match","Non_Exact","11051 S HALE AVE, CHICAGO, IL, 60643","-87.670252087464,41.693180024134","616793906","L","17","031","750200","2014"
"431","1633 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1633 N HUDSON AVE, CHICAGO, IL, 60614","-87.639749788699,41.911806006813","605071683","R","17","031","071700","2000"
"278","1431 W FILLMORE STREET, CHICAGO, IL, 60607","Match","Exact","1431 W FILLMORE ST, CHICAGO, IL, 60607","-87.662661324765,41.868474854164","111845842","L","17","031","283100","1005"
"311","1452 W FLOURNOY STREET, CHICAGO, IL, 60607","Match","Exact","1452 W FLOURNOY ST, CHICAGO, IL, 60607","-87.663054100475,41.873389594158","111802751","R","17","031","832900","1007"
"478","1646 N WELLS STREET, CHICAGO, IL, 60614","Match","Exact","1646 N WELLS ST, CHICAGO, IL, 60614","-87.634820919951,41.912168488334","630132034","R","17","031","071500","1005"
"358","1536 W POLK STREET, CHICAGO, IL, 60607","Match","Exact","1536 W POLK ST, CHICAGO, IL, 60607","-87.665013779617,41.871707232439","605275283","R","17","031","832900","1006"
"315","1453-1457 E 53RD STREET, CHICAGO, IL, 60615","Match","Non_Exact","1457 E 53RD ST, CHICAGO, IL, 60615","-87.589949989648,41.799474275381","111771913","R","17","031","410800","1005"
"438","1635 ½ N NORTH PARK AVENUE, CHICAGO, IL, 60614","Match","Non_Exact","1635 1/2 N NORTH PARK AVE, CHICAGO, IL, 60614","-87.636622562863,41.912177753207","618051505","R","17","031","071500","1005"
"162","1214-1218 S LEAVITT STREET, CHICAGO, IL, 60608","Match","Non_Exact","1218 S LEAVITT ST, CHICAGO, IL, 60608","-87.6812036086,41.865966913576","605089821","R","17","031","842900","1016"
"164","122 W EUGENIE STREET, CHICAGO, IL, 60614","Match","Exact","122 W EUGENIE ST, CHICAGO, IL, 60614","-87.633612599684,41.912959055439","111767541","R","17","031","071500","2000"
"1","100 W 104TH PLACE, CHICAGO, IL, 60628","Match","Exact","100 W 104TH PL, CHICAGO, IL, 60628","-87.625899926384,41.704455005884","605524260","R","17","031","491000","4019"
"243","1407 W FLOURNOY STREET, CHICAGO, IL, 60607","Match","Exact","1407 W FLOURNOY ST, CHICAGO, IL, 60607","-87.661906997404,41.873296164172","111802751","L","17","031","832900","1008"
"520","1707 N WELLS STREET, CHICAGO, IL, 60614","Match","Exact","1707 N WELLS ST, CHICAGO, IL, 60614","-87.63469010358,41.9130240699","111767505","R","17","031","071500","2000"
"202","1317 W FILLMORE STREET, CHICAGO, IL, 60607","Match","Exact","1317 W FILLMORE ST, CHICAGO, IL, 60607","-87.65962233029,41.868528853985","111802947","L","17","031","283200","1010"
"522","1707-1709 N NORTH PARK AVENUE, CHICAGO, IL, 60614","Match","Non_Exact","1709 N NORTH PARK AVE, CHICAGO, IL, 60614","-87.636651345512,41.913117518469","111767422","R","17","031","071500","1003"
"209","1327 W FILLMORE STREET, CHICAGO, IL, 60607","Match","Exact","1327 W FILLMORE ST, CHICAGO, IL, 60607","-87.659854524337,41.868525279176","111802947","L","17","031","283200","1010"
"21","1027 S RACINE AVENUE, CHICAGO, IL, 60607","Match","Exact","1027 S RACINE AVE, CHICAGO, IL, 60607","-87.656659094215,41.868785640815","618343609","L","17","031","833300","1025"
"290","1438 W POLK STREET, CHICAGO, IL, 60607","Match","Exact","1438 W POLK ST, CHICAGO, IL, 60607","-87.663246396947,41.871739396883","605105701","R","17","031","832900","1011"
"291","1431-1439 W FLOURNOY STREET, CHICAGO, IL, 60607","Match","Non_Exact","1439 W FLOURNOY ST, CHICAGO, IL, 60607","-87.662276320507,41.873289326564","111802751","L","17","031","832900","1008"
"493","1653 N WELLS STREET, CHICAGO, IL, 60614","Match","Exact","1653 N WELLS ST, CHICAGO, IL, 60614","-87.63467616051,41.912540661552","630132033","L","17","031","071500","5001"
"374","160 W 70TH STREET, CHICAGO, IL, 60621","Match","Exact","160 W 70TH ST, CHICAGO, IL, 60621","-87.629223614984,41.76731750861","605520760","R","17","031","690300","2007"
"331","1500-1506 W JACKSON BOULEVARD, CHICAGO, IL, 60607","Match","Non_Exact","1506 W JACKSON BLVD, CHICAGO, IL, 60607","-87.664532612198,41.877720619779","605275232","R","17","031","833100","2016"
"255","1414 W LEXINGTON STREET, CHICAGO, IL, 60607","Match","Exact","1414 W LEXINGTON ST, CHICAGO, IL, 60607","-87.662144847674,41.872577969828","111802756","R","17","031","832900","1009"
"574","1723 N ST MICHAELS COURT, CHICAGO, IL, 60614","Tie"
"377","1610-1620 N WELLS STREET, CHICAGO, IL, 60614","Match","Non_Exact","1620 N WELLS ST, CHICAGO, IL, 60614","-87.634813991872,41.91196952732","605838332","R","17","031","071500","1006"
"136","1119 W VERNON PARK PLACE, CHICAGO, IL, 60607","Match","Exact","1119 W VERNON PARK PL, CHICAGO, IL, 60607","-87.654908217586,41.872941897938","639819410","L","17","031","833300","1011"
"411","1625 N MOHAWK STREET, CHICAGO, IL, 60614","Match","Exact","1625 N MOHAWK ST, CHICAGO, IL, 60614","-87.642166358039,41.911569760765","605838402","R","17","031","071700","2003"
"456","1639 N WELLS STREET, CHICAGO, IL, 60614","Match","Exact","1639 N WELLS ST, CHICAGO, IL, 60614","-87.634660138091,41.911974260801","605838332","L","17","031","071500","5002"
"215","1337 W HARRISON STREET, CHICAGO, IL, 60607","Match","Exact","1337 W HARRISON ST, CHICAGO, IL, 60607","-87.660494537075,41.874112548079","111802773","R","17","031","832900","2006"
"414","1627 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1627 N HUDSON AVE, CHICAGO, IL, 60614","-87.639748036997,41.911747449729","605071683","R","17","031","071700","2000"
"31","10325 S INDIANA AVENUE, CHICAGO, IL, 60628","Match","Exact","10325 S INDIANA AVE, CHICAGO, IL, 60628","-87.618542700198,41.706441738857","605524883","L","17","031","490902","2003"
"32","10336 S VERNON AVENUE, CHICAGO, IL, 60628","Match","Exact","10336 S VERNON AVE, CHICAGO, IL, 60628","-87.612600009806,41.706355267733","605525036","R","17","031","490902","4013"
"35","1035-1043 E 65TH STREET, CHICAGO, IL, 60637","Match","Non_Exact","1043 E 65TH ST, CHICAGO, IL, 60637","-87.599547645942,41.776786694965","111774186","R","17","031","834400","3005"
"79","10609 S LAFAYETTE AVENUE, CHICAGO, IL, 60628","Match","Exact","10609 S LAFAYETTE AVE, CHICAGO, IL, 60628","-87.624468614562,41.701240442661","111773314","L","17","031","491000","2001"
"142","1123 W VERNON PARK PLACE, CHICAGO, IL, 60607","Match","Exact","1123 W VERNON PARK PL, CHICAGO, IL, 60607","-87.655038269139,41.872940140491","639819410","L","17","031","833300","1011"
"220","1343 W FLOURNOY STREET, CHICAGO, IL, 60607","Match","Exact","1343 W FLOURNOY ST, CHICAGO, IL, 60607","-87.660522049238,41.873119167175","605105594","L","17","031","832900","2011"
"144","1635 N LA SALLE DRIVE, CHICAGO, IL, 60614","Match","Exact","1635 N LA SALLE DR, CHICAGO, IL, 60614","-87.633141407504,41.913090497512","111767517","R","17","031","071500","2001"
"188","1300 S ALBANY AVENUE, CHICAGO, IL, 60623","Match","Exact","1300 S ALBANY AVE, CHICAGO, IL, 60623","-87.703179557753,41.864540684339","111801504","R","17","031","843100","1013"
"420","1629 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Exact","1629 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.640961402784,41.911652167877","647565719","R","17","031","071700","2002"
"464","1641 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1641 N HUDSON AVE, CHICAGO, IL, 60614","-87.639752124301,41.911884082925","605071683","R","17","031","071700","2000"
"267","1423 W FLOURNOY STREET, CHICAGO, IL, 60607","Match","Exact","1423 W FLOURNOY ST, CHICAGO, IL, 60607","-87.66209165599,41.873292744579","111802751","L","17","031","832900","1008"
"421","1629 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1629 N HUDSON AVE, CHICAGO, IL, 60614","-87.639748620898,41.911766968757","605071683","R","17","031","071700","2000"
"465","1641 N NORTH PARK AVENUE, CHICAGO, IL, 60614","Match","Exact","1641 N NORTH PARK AVE, CHICAGO, IL, 60614","-87.636626393211,41.912313844966","618051505","R","17","031","071500","1005"
"389","1617 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1617 N HUDSON AVE, CHICAGO, IL, 60614","-87.639745117495,41.91164985459","605071683","R","17","031","071700","2000"
"422","1629 N MOHAWK STREET, CHICAGO, IL, 60614","Match","Exact","1629 N MOHAWK ST, CHICAGO, IL, 60614","-87.642168830792,41.91163487678","605838402","R","17","031","071700","2003"
"149","1140-1142 E 46TH STREET, CHICAGO, IL, 60653","Match","Non_Exact","1142 E 46TH ST, CHICAGO, IL, 60653","-87.597619161752,41.811511451724","605500133","L","17","031","390200","1003"
"501","168 W EUGENIE STREET, CHICAGO, IL, 60614","Match","Exact","168 W EUGENIE ST, CHICAGO, IL, 60614","-87.634262909535,41.912952419659","111767541","R","17","031","071500","2000"
"1020","1926 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Exact","1926 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.641283471456,41.916980764408","111767381","L","17","031","071600","1002"
"790","1825 N LARRABEE STREET, CHICAGO, IL, 60614","Match","Exact","1825 N LARRABEE ST, CHICAGO, IL, 60614","-87.64348671234,41.915094833426","111767225","R","17","031","071600","1005"
"672","1758 N SEDGWICK STREET, CHICAGO, IL, 60614","Match","Exact","1758 N SEDGWICK ST, CHICAGO, IL, 60614","-87.638770282045,41.914332029278","111767405","L","17","031","071700","1000"
"1018","1925 S MAY STREET, CHICAGO, IL, 60608","Match","Exact","1925 S MAY ST, CHICAGO, IL, 60608","-87.654712919159,41.855851836984","111803477","L","17","031","310500","1012"
"798","1826-1834 N LINCOLN PARK AVENUE, CHICAGO, IL, 60614","No_Match"
"799","1827 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1827 N HUDSON AVE, CHICAGO, IL, 60614","-87.639865898437,41.91551613467","605266130","R","17","031","071600","1009"
"1012","1924 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1924 N HUDSON AVE, CHICAGO, IL, 60614","-87.64006746986,41.91696412454","111767382","L","17","031","071600","1001"
"998","1921 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Exact","1921 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.641126509486,41.9168794872","111767381","R","17","031","071600","1001"
"958","1912 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Exact","1912 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.641276847232,41.916738858877","111767381","L","17","031","071600","1002"
"718","1807-1811 N LINCOLN PARK WEST, CHICAGO, IL, 60614","Match","Non_Exact","1811 N LINCOLN PARK W, CHICAGO, IL, 60614","-87.636196788678,41.915110000486","605266135","R","17","031","071500","6002"
"1190","217-221 W WILLOW STREET, CHICAGO, IL, 60614","Match","Non_Exact","221 W WILLOW ST, CHICAGO, IL, 60614","-87.635697123511,41.91409039419","639245976","L","17","031","071500","1002"
"1193","218 W MENOMONEE STREET, CHICAGO, IL, 60614","Match","Exact","218 W MENOMONEE ST, CHICAGO, IL, 60614","-87.635639934164,41.914849436112","605071530","R","17","031","071500","6002"
"1027","1927 N SEDGWICK STREET, CHICAGO, IL, 60614","Match","Exact","1927 N SEDGWICK ST, CHICAGO, IL, 60614","-87.638708835558,41.917396842566","605232688","R","17","031","071500","3009"
"884","1847-1849 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Non_Exact","1849 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.641086381815,41.915549993232","111767389","R","17","031","071600","1008"
"961","1912 N SEDGWICK STREET, CHICAGO, IL, 60614","Match","Exact","1912 N SEDGWICK ST, CHICAGO, IL, 60614","-87.638850908521,41.916990168551","605232688","L","17","031","071600","1000"
"687","1800 N CLARK STREET, CHICAGO, IL, 60614","Match","Exact","1800 N CLARK ST, CHICAGO, IL, 60614","-87.633973860505,41.914856272877","111767497","L","17","031","071500","6003"
"1025","1927 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Exact","1927 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.641129510308,41.916983230292","111767381","R","17","031","071600","1001"
"1100","1945 N LINCOLN AVENUE, CHICAGO, IL, 60614","Match","Exact","1945 N LINCOLN AVE, CHICAGO, IL, 60614","-87.637624803014,41.917562502497","111890283","R","17","031","071500","3008"
"800","1827 N LINCOLN PARK WEST, CHICAGO, IL, 60614","Match","Exact","1827 N LINCOLN PARK W, CHICAGO, IL, 60614","-87.636211384276,41.915538849566","605266135","R","17","031","071500","6002"
"648","1747 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Exact","1747 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.641039371804,41.914084228785","605071475","R","17","031","071700","1001"
"923","1902 S MAY STREET, CHICAGO, IL, 60608","Match","Exact","1902 S MAY ST, CHICAGO, IL, 60608","-87.654887170832,41.856500998543","111803046","R","17","031","310500","1004"
"806","1829 N MOHAWK STREET, CHICAGO, IL, 60614","Match","Exact","1829 N MOHAWK ST, CHICAGO, IL, 60614","-87.642274556929,41.915077493978","605266120","R","17","031","071600","1010"
"808","1830 N LINCOLN AVENUE, CHICAGO, IL, 60614","Match","Exact","1830 N LINCOLN AVE, CHICAGO, IL, 60614","-87.635390721496,41.915802250328","111892206","L","17","031","071500","6002"
"1160","2109-2113 N CLARK STREET, CHICAGO, IL, 60614","Match","Non_Exact","2113 N CLARK ST, CHICAGO, IL, 60614","-87.637314001808,41.920499640338","605242661","R","17","031","071400","2006"
"697","1801 N LARRABEE STREET, CHICAGO, IL, 60614","Match","Exact","1801 N LARRABEE ST, CHICAGO, IL, 60614","-87.643475656663,41.914679466876","111767225","R","17","031","071600","1005"
"1158","210 W EUGENIE STREET, CHICAGO, IL, 60614","Match","Exact","210 W EUGENIE ST, CHICAGO, IL, 60614","-87.635339238734,41.912932436423","655272262","R","17","031","071500","1004"
"654","1750 N MOHAWK STREET, CHICAGO, IL, 60614","Match","Exact","1750 N MOHAWK ST, CHICAGO, IL, 60614","-87.642393541877,41.913865045037","605071455","L","17","031","071700","1005"
"731","1810 N ORLEANS STREET, CHICAGO, IL, 60614","Match","Exact","1810 N ORLEANS ST, CHICAGO, IL, 60614","-87.637568861143,41.915055979953","605071493","L","17","031","071500","4001"
"973","1915 N SEDGWICK STREET, CHICAGO, IL, 60614","Match","Exact","1915 N SEDGWICK ST, CHICAGO, IL, 60614","-87.638703349151,41.917210304084","605232688","R","17","031","071500","3009"
"1157","209-211 W EUGENIE STREET, CHICAGO, IL, 60614","Match","Non_Exact","211 W EUGENIE ST, CHICAGO, IL, 60614","-87.635124647838,41.912821906342","605071611","L","17","031","071500","1005"
"812","1831 N LINCOLN PARK WEST, CHICAGO, IL, 60614","Match","Exact","1831 N LINCOLN PARK W, CHICAGO, IL, 60614","-87.63621575871,41.91564602348","605266135","R","17","031","071500","6002"
"819","1833 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1833 N HUDSON AVE, CHICAGO, IL, 60614","-87.639868054284,41.915592883118","605266130","R","17","031","071600","1009"
"1175","214 W 70TH STREET, CHICAGO, IL, 60621","Match","Exact","214 W 70TH ST, CHICAGO, IL, 60621","-87.629967737653,41.767307125169","605520781","R","17","031","690300","2008"
"1093","1943 N MOHAWK STREET, CHICAGO, IL, 60614","Match","Exact","1943 N MOHAWK ST, CHICAGO, IL, 60614","-87.6423401115,41.917083869761","605232674","R","17","031","071600","1003"
"583","1726-1728 N CLARK STREET, CHICAGO, IL, 60614","Match","Non_Exact","1728 N CLARK ST, CHICAGO, IL, 60614","-87.633481041763,41.914053947578","111767507","L","17","031","071500","2000"
"1129","2 N RIVERSIDE PLAZA, CHICAGO, IL, 60606","No_Match"
"586","1727-1735 N ORLEANS STREET, CHICAGO, IL, 60614","Match","Non_Exact","1735 N ORLEANS ST, CHICAGO, IL, 60614","-87.637360245253,41.913323152047","111767416","R","17","031","071500","4003"
"621","1738 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1738 N HUDSON AVE, CHICAGO, IL, 60614","-87.639953238281,41.913312590101","111767398","L","17","031","071700","1002"
"984","1918 N CLEVELAND AVENUE, CHICAGO, IL, 60614","Match","Exact","1918 N CLEVELAND AVE, CHICAGO, IL, 60614","-87.641279470359,41.916842440286","111767381","L","17","031","071600","1002"
"622","1738 N MOHAWK STREET, CHICAGO, IL, 60614","Match","Exact","1738 N MOHAWK ST, CHICAGO, IL, 60614","-87.642388856331,41.913683869868","605071455","L","17","031","071700","1005"
"787","1824 N ORLEANS STREET, CHICAGO, IL, 60614","Match","Exact","1824 N ORLEANS ST, CHICAGO, IL, 60614","-87.637577084968,41.915321085653","605232649","L","17","031","071500","4001"
"864","1843-1845 N LINCOLN AVENUE, CHICAGO, IL, 60614","Match","Non_Exact","1845 N LINCOLN AVE, CHICAGO, IL, 60614","-87.635849925436,41.916291296211","111892207","R","17","031","071500","6001"
"985","1918 N MOHAWK STREET, CHICAGO, IL, 60614","Match","Exact","1918 N MOHAWK ST, CHICAGO, IL, 60614","-87.642491694005,41.917010020854","605232674","L","17","031","071600","1004"
"1002","1921-1923 N SEDGWICK STREET, CHICAGO, IL, 60614","Match","Non_Exact","1923 N SEDGWICK ST, CHICAGO, IL, 60614","-87.638707006756,41.917334663072","605232688","R","17","031","071500","3009"
"744","1814 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1814 N HUDSON AVE, CHICAGO, IL, 60614","-87.640008189396,41.915180553576","605266130","L","17","031","071600","1008"
"986","1918 N SEDGWICK STREET, CHICAGO, IL, 60614","Match","Exact","1918 N SEDGWICK ST, CHICAGO, IL, 60614","-87.638854566126,41.917114527539","605232688","L","17","031","071600","1000"
"629","1740 N CLARK STREET, CHICAGO, IL, 60614","Match","Exact","1740 N CLARK ST, CHICAGO, IL, 60614","-87.633551796505,41.91416892407","111767507","L","17","031","071500","2000"
"706","1804 N HUDSON AVENUE, CHICAGO, IL, 60614","Match","Exact","1804 N HUDSON AVE, CHICAGO, IL, 60614","-87.640000082342,41.914863533695","605266129","L","17","031","071600","1008"
"828","1834-1838 N LINCOLN AVENUE, CHICAGO, IL, 60614","Match","Non_Exact","1838 N LINCOLN AVE, CHICAGO, IL, 60614","-87.635619530021,41.915967292081","111892207","L","17","031","071500","6002"
