methyl hydrogen carbonate	O=C(O)OC
Andiconin D	CC1(C)[C@@H]2CC[C@@]34C[C@@]5(C)C=C6C(=O)OC[C@@]36[C@@](C)(C[C@H]4[C@@]2(C)C=CC1=O)C5=O
prop-2-yn-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCC#C)O
4-hydroxybutyl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCCCCO)O
4-oxopentyl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCCCC(=O)C)O
4-[1-cyclohexyl-4-(4-fluorophenyl)-1H-imidazol-5-yl]pyrimidin-2-amine	Fc4ccc(c1ncn(c1c2nc(ncc2)N)C3CCCCC3)cc4
but-2-yn-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCC#CC)O
buta-2,3-dien-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OC\C=C=C)O
3-[(S)-HYDROPEROXYSULFINYL]-L-ALANINE	O=C(O)C(N)CS(=O)OO
6-methoxy-3,8-dimethyl-4-(piperazin-1-yl)-1H-pyrazolo[3,4-b]quinoline	n2c1c(cc(OC)cc1c(c3c2nnc3C)N4CCNCC4)C
4,4'-(1,1,1,3,3,3-hexafluoropropane-2,2-diyl)diphenol	FC(F)(F)C(c1ccc(O)cc1)(c2ccc(O)cc2)C(F)(F)F
4,4'-(2,2-dichloroethene-1,1-diyl)diphenol	Cl/C(Cl)=C(/c1ccc(O)cc1)c2ccc(O)cc2
(4R,4'S)-4,4'-diphenyl-4,4'-biimidazolidine-2,2',5,5'-tetrone	O=C2NC(=O)NC2(c1ccccc1)C3(C(=O)NC(=O)N3)c4ccccc4
N-[(2S)-2-benzyl-3-sulfanylpropanoyl]-L-alanylglycinamide	O=C(N)CNC(=O)C(NC(=O)C(CS)Cc1ccccc1)C
1-methyl-6-phenyl-1,3-dihydro-2H-imidazo[4,5-b]pyridin-2-one	O=C2Nc1ncc(cc1N2C)c3ccccc3
3-(1-methyl-2-oxo-2,3-dihydro-1H-imidazo[4,5-b]pyridin-6-yl)benzamide	O=C(N)c3cccc(c1cc2c(nc1)NC(=O)N2C)c3
5'-deoxy-5'-fluorothymidine	O=C1NC(=O)N(C=C1C)C2OC(C(O)C2)CF
(2S,3R)-2-azanyl-3-methyl-3-oxidanyl-pentanoic acid	O=C(O)C(N)C(O)(C)CC
(betaR)-beta,3-dihydroxy-N-methyl-L-tyrosine	O=C(O)C(NC)C(O)c1cc(O)c(O)cc1
6,7-dimethoxy-2-(piperazin-1-yl)quinazolin-4-amine	n1c(N)c3c(nc1N2CCNCC2)cc(OC)c(OC)c3
(2R)-2-amino-2-methylnonanoic acid	O=C(O)C(N)(CCCCCCC)C
3,6-dichloro-1-benzothiophene-2-carboxylic acid	O=C(O)c2sc1cc(Cl)ccc1c2Cl
4-(sulfamoylamino)benzenesulfonamide	O=S(=O)(N)c1ccc(NS(=O)(=O)N)cc1
4-chloro-2-(1H-pyrazol-3-yl)phenol	Clc2ccc(O)c(c1nncc1)c2
D-leucyl-N-(4-fluorobenzyl)-L-phenylalaninamide	Fc1ccc(cc1)CNC(=O)C(NC(=O)C(N)CC(C)C)Cc2ccccc2
phenacyl coenzyme A	O=C(c1ccccc1)CSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC4OC(n3cnc2c(ncnc23)N)C(O)C4OP(=O)(O)O
furan-2-yl(1H-indol-3-yl)methanone	O=C(c1cnc2ccccc12)c3occc3
(5Z)-5-[3-(trifluoromethyl)benzylidene]-1,3-thiazolidine-2,4-dione	O=C1C(\SC(=O)N1)=C\c2cccc(c2)C(F)(F)F
2,5,6-triaminopyrimidin-4-ol	n1c(N)c(N)c(O)nc1N
(2Z)-2-fluoro-3,7-dimethylocta-2,6-dien-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCC(\F)=C(/C)CC\C=C(/C)C)O
4-(6-methoxy-3,4-dihydroisoquinolin-1-yl)benzenesulfonamide	O=S(=O)(N)c3ccc(C1=NCCc2cc(OC)ccc12)cc3
L-GUANOSINE-5'-MONOPHOSPHATE	O=C1c2ncn(c2N=C(N)N1)C3OC(C(O)C3O)COP(=O)(O)O
N~5~-(3-iodobenzoyl)-L-ornithine	O=C(c1cc(I)ccc1)NCCCC(C(=O)O)N
3-{[(1Z)-1-carboxyprop-1-en-1-yl]oxy}-2-hydroxybenzoic acid	O=C(O)c1cccc(O/C(C(=O)O)=C\C)c1O
4-bromo-3-methylbenzoic acid	Brc1ccc(C(=O)O)cc1C
3-{[(4-hydroxy-3-methoxyphenyl)acetyl]amino}-D-alanine	O=C(O)C(N)CNC(=O)Cc1cc(OC)c(O)cc1
N-(furan-2-ylcarbonyl)-L-leucyl-L-tryptophan	O=C(NC(C(=O)NC(C(=O)O)Cc2c1ccccc1nc2)CC(C)C)c3occc3
(3beta,8alpha,9beta)-3-hydroxycholest-5-en-7-one	O=C1C=C4C(C3C1C2C(C(C(C)CCCC(C)C)CC2)(C)CC3)(CCC(O)C4)C
5-(1-ethoxyisoquinolin-3-yl)-2,4-dihydro-3H-1,2,4-triazol-3-one	CCOc1nc(cc2ccccc12)C=1NC(=O)NN=1
(1E,3Z)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylic acid	O=C(O)C(\O)=C\C(\C(=O)O)=C/C(=O)O
2-oxo-2H-pyran-4,6-dicarboxylic acid	O=C1OC(=CC(C(=O)O)=C1)C(=O)O
6-methoxy-N-(1-methyl-1H-pyrazol-3-yl)quinazolin-4-amine	n2c(Nc1nn(cc1)C)c3cc(OC)ccc3nc2
(3R)-1-azabicyclo[2.2.2]oct-3-yl[bis(5-chlorothiophen-2-yl)]methanol	Clc1sc(cc1)C(O)(c2sc(Cl)cc2)C4C3CCN(CC3)C4
2-[(4-methoxybenzyl)amino]ethanesulfonic acid	O=S(=O)(O)CCNCc1ccc(OC)cc1
1-(1H-indazol-5-yl)-3-(2-phenylethyl)urea	O=C(NCCc1ccccc1)Nc2cc3c(cc2)nnc3
1,3-benzodioxole-5-carboxylic acid	O=C(O)c1ccc2OCOc2c1
2,1,3-benzothiadiazole-5-carboxylic acid	O=C(O)c1ccc2nsnc2c1
3-[(4-nitronaphthalen-1-yl)amino]benzoic acid	[O-][N+](=O)c1c3c(c(cc1)Nc2cc(ccc2)C(=O)O)cccc3
N-[(3S)-4-ethoxy-3-hydroxy-4-oxobutanoyl]-L-isoleucyl-L-proline	O=C(NC(C(=O)N1C(C(=O)O)CCC1)C(C)CC)C2OC2C(=O)OCC
Andilesin C	CC1(C)OC(=O)C=C[C@@]2(C)[C@H]1CC[C@@]34C[C@@]5(C)C[C@@H]6C(=O)OC[C@@]36[C@@](C)(C[C@@H]24)C5=O
1-phenyl-5-(trifluoromethyl)pyrazole-4-carboxylic acid	OC(=O)c1cnn(c2ccccc2)c1C(F)(F)F
7-(pyridin-3-ylmethyl)quinolin-8-ol	Oc1c(ccc2cccnc12)Cc3cccnc3
Terretonin C	C[C@@H]1OC(=O)[C@H]2[C@@](C)(C(=C)C[C@@]3(O)[C@]4(C)CCC(=O)C(C)(C)C4=C(O)C(=O)[C@]23C)C1=O
N-[3-(1H-tetrazol-5-yl)phenyl]-2H-indazole-5-carboxamide	O=C(c2ccc1nncc1c2)Nc3cccc(c3)c4nnnn4
3-(pyrimidin-2-yl)-N-[3-(1H-tetrazol-5-yl)phenyl]benzamide	O=C(c2cccc(c1ncccn1)c2)Nc3cccc(c3)c4nnnn4
1-tert-butyl-3-(naphthalen-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine	n1c(c2c(nc1)n(nc2c4c3ccccc3ccc4)C(C)(C)C)N
N-[3-(1H-tetrazol-5-yl)phenyl]-1H-benzimidazole-7-carboxamide	O=C(c2cccc1ncnc12)Nc3cccc(c3)c4nnnn4
Di-mu-iodobis(ethylenediamine)diplatinum(II)	[Pt+]12(NCCN1)I[Pt+]3(I2)NCCN3
(2S)-2,3-dihydro-1,4-benzodioxine-2-carboxylic acid	O=C(O)C1Oc2ccccc2OC1
5-methyl-1-phenyl-1,2,3-triazole-4-carboxylic acid	Cc1n(nnc1C(O)=O)c2ccccc2
(4R)-4-amino-5-methylhexanoic acid	O=C(O)CCC(N)C(C)C
(4S,5Z)-4-amino-5-iminopentanamide	O=C(N)CCC(C=[N@H])N
(3E)-4-hydroxybut-3-en-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCC\C=C\O)O
4-oxobutyl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCCCC=O)O
2-(4-methylphenyl)-1,3-thiazole-4-carboxylic acid	O=C(O)c1nc(sc1)c2ccc(cc2)C
SILVER/IRON/SULFUR CLUSTER	S1[Fe]S[Fe]1.S2[Fe]S[Ag]2
{2-[2-(cyclopentylamino)-2-oxoethoxy]phenyl}phosphonic acid	O=C(NC1CCCC1)COc2ccccc2P(=O)(O)O
{2-[2-(cyclohexylamino)-2-oxoethoxy]phenyl}phosphonic acid	O=C(NC1CCCCC1)COc2ccccc2P(=O)(O)O
(2-{2-[(2,3-dichlorophenyl)amino]-2-oxoethoxy}phenyl)phosphonic acid	Clc2c(NC(=O)COc1ccccc1P(=O)(O)O)cccc2Cl
(2E)-2-imino-3-methyl-5,5-diphenylimidazolidin-4-one	O=C2N(C(=[N@H])NC2(c1ccccc1)c3ccccc3)C
3-[(2R)-2-ethoxypropyl]-2-thioxo-1,2,3,9-tetrahydro-6H-purin-6-one	O=C2c1ncnc1N(C(=S)N2)CC(OCC)C
hexanedioic acid	O=C(O)CCCCC(=O)O
2'-bromo-6'-(furan-3-yl)-4'-(hydroxymethyl)biphenyl-4-ol	Brc1cc(cc(c1c2ccc(O)cc2)c3ccoc3)CO
(2S)-2-(6-chloro-9H-carbazol-2-yl)propanoic acid	O=C(O)C(c3ccc2c1cc(Cl)ccc1nc2c3)C
(4R)-4-(4-phenylbutoxy)-L-proline	O=C(O)C2NCC(OCCCCc1ccccc1)C2
2-(1H-indol-1-yl)ethanamine	c1cccc2c1ccn2CCN
5-phenylpyridine-3-carboxylic acid	O=C(O)c2cc(c1ccccc1)cnc2
(3R,4R)-3-(naphthalen-2-ylmethoxy)-4-phenylpiperidine	O(Cc2cc1ccccc1cc2)C4C(c3ccccc3)CCNC4
N-{[(3S,4S)-4-benzylpyrrolidin-3-yl]methyl}-4-chloro-N-phenylaniline	Clc1ccc(cc1)N(c2ccccc2)CC3C(CNC3)Cc4ccccc4
(2S)-1-(pyrrolidin-1-yl)-3-(9H-thioxanthen-9-yl)propan-2-ol	OC(CN1CCCC1)CC3c4c(Sc2c3cccc2)cccc4
(2,2-dimethyl-2,3-dihydro-1-benzofuran-7-yl)methanol	OCc2cccc1c2OC(C1)(C)C
(2R)-1-(pyrrolidin-1-yl)-3-(9H-thioxanthen-9-yl)propan-2-ol	OC(CN1CCCC1)CC3c4c(Sc2c3cccc2)cccc4
N-(4-bromophenyl)-N'-(2,2,6,6-tetramethylpiperidin-4-yl)ethanediamide	Brc1ccc(cc1)NC(=O)C(=O)NC2CC(NC(C)(C)C2)(C)C
[2-(pentylamino)ethane-1,1-diyl]bis(phosphonic acid)	O=P(O)(O)C(CNCCCCC)P(=O)(O)O
[2-(heptylamino)ethane-1,1-diyl]bis(phosphonic acid)	O=P(O)(O)C(CNCCCCCCC)P(=O)(O)O
[2-(propylamino)ethane-1,1-diyl]bis(phosphonic acid)	O=P(O)(O)C(CNCCC)P(=O)(O)O
maslinic acid	O=C(O)C54C=CC(C)(C)CC5C3=CCC1C(CCC2C1(C)CC(O)C(O)C2(C)C)(C)C3(C)CC4
1-(3-PHENYL-1,2,4-THIADIAZOL-5-YL)-1,4-DIAZEPANE	n1c(snc1c2ccccc2)N3CCCNCC3
(3S)-N-(9H-xanthen-9-ylmethyl)piperidine-3-carboxamide	O=C(NCC2c3c(Oc1c2cccc1)cccc3)C4CCCNC4
amino{[(4S)-4-amino-5-carboxy-5-oxopentyl]amino}methaniminium	O=C(C(=O)O)C(N)CCCNC(=[NH2+])\N
(2S,3S)-3-amino-2-hydroxy-N-(4-iodobenzyl)butanamide	Ic1ccc(cc1)CNC(=O)C(O)C(N)C
N-[4-(1,3-benzothiazol-2-yl)phenyl]-2-(3-methoxyphenoxy)acetamide	O=C(Nc3ccc(c1nc2ccccc2s1)cc3)COc4cccc(OC)c4
(4R)-4-(3-butoxy-4-methoxybenzyl)imidazolidin-2-one	O=C1NCC(N1)Cc2cc(OCCCC)c(OC)cc2
[2-(cyclohexylamino)ethane-1,1-diyl]bisphosphonic acid	O[P](O)(=O)C(CNC1CCCCC1)[P](O)(O)=O
[2-(hexylamino)ethane-1,1-diyl]bis(phosphonic acid)	O=P(O)(O)C(CNCCCCCC)P(=O)(O)O
N-[4-(3-amino-1H-indazol-5-yl)phenyl]-3-chlorobenzenesulfonamide	Clc1cccc(c1)S(=O)(=O)Nc4ccc(c2cc3c(cc2)nnc3N)cc4
3-({[(dihydroxyboranyl)methyl]sulfamoyl}methyl)benzoic acid	O=S(=O)(NCB(O)O)Cc1cccc(c1)C(=O)O
[({[4-(1H-tetrazol-5-yl)phenyl]sulfonyl}amino)methyl]boronic acid	O=S(=O)(c2ccc(c1nnnn1)cc2)NCB(O)O
N-{4-[(7-hydroxy-6-methoxyquinazolin-4-yl)amino]phenyl}benzamide	O=C(c1ccccc1)Nc2ccc(cc2)Nc4ncnc3c4cc(OC)c(O)c3
2-hydroxyisoquinoline-1,3(2H,4H)-dione	O=C2c1c(cccc1)CC(=O)N2O
({[(chloromethyl)sulfonyl]amino}methyl)boronic acid	ClCS(=O)(=O)NCB(O)O
Aurachin D	CC(C)=CCCC(/C)=C/CCC(/C)=C\CC1=C(C)Nc2ccccc2C1=O
2-(2-fluorophenyl)-6-methoxy-1,3-benzothiazole	Fc3ccccc3c1nc2ccc(OC)cc2s1
6,7,8-trimethoxy-N-(pentan-3-yl)quinazolin-4-amine	n2c1c(cc(OC)c(OC)c1OC)c(nc2)NC(CC)CC
cyanic acid	N#CO
2',3'-dideoxy-2'-fluoro-3'-triaza-1,2-dien-2-ium-1-yluridine	O=C1NC(=O)N(C=C1)C2OC(C(\N=[N+]=[N@H])C2F)CO
(5-phenyl-1,2-oxazol-3-yl)methanol	OCc2noc(c1ccccc1)c2
3-(hydroxymethyl)but-3-en-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCCC(=C)\CO)O
4-(isoquinolin-1-yl)-N-[2-(morpholin-4-yl)ethyl]benzamide	O=C(NCCN1CCOCC1)c4ccc(c3nccc2c3cccc2)cc4
4-(3-methylisoquinolin-1-yl)-N-[2-(morpholin-4-yl)ethyl]benzamide	O=C(NCCN1CCOCC1)c4ccc(c3nc(cc2c3cccc2)C)cc4
(1,1-dimethylpiperidin-1-ium-4-yl) octadecyl hydrogen phosphate	O=P(O)(OC1CC[N+](C)(C)CC1)OCCCCCCCCCCCCCCCCCC
3-(1-benzothiophen-2-yl)propanoic acid	O=C(O)CCc2sc1ccccc1c2
N-(2-fluorophenyl)-N'-methylurea	O=C(Nc1ccccc1F)NC
3-phenylquinazolin-4(3H)-one	O=C1c3ccccc3N=CN1c2ccccc2
phenyl(piperidin-1-yl)methanone	O=C(c1ccccc1)N2CCCCC2
benzyl pyridine-3-carboxylate	O=C(OCc1ccccc1)c2cccnc2
(3-phenoxyphenyl)methanol	O(c1ccccc1)c2cc(ccc2)CO
[3-(benzyloxy)phenyl]methanol	O(c1cc(ccc1)CO)Cc2ccccc2
2-({3-[(3,5-dichlorobenzyl)amino]propyl}amino)quinolin-4(1H)-one	Clc1cc(cc(Cl)c1)CNCCCNC3=CC(=O)c2c(cccc2)N3
4-amino-2-(cyclopentyloxy)pyrimidine-5-carboxamide	O=C(c2cnc(OC1CCCC1)nc2N)N
(4-hydroxyphenyl)(morpholin-4-yl)methanone	O=C(c1ccc(O)cc1)N2CCOCC2
N-[(4R)-4-ammonio-4-carboxybutanoyl]-L-cysteinylglycine	O=C(NCC(=O)O)C(NC(=O)CCC(C(=O)O)[NH3+])CS
N-(1H-benzimidazol-2-yl)-N'-(3,5-dichlorobenzyl)propane-1,3-diamine	Clc1cc(cc(Cl)c1)CNCCCNc3nc2ccccc2n3
cyclopentylacetic acid	O=C(O)CC1CCCC1
(2R)-2-butyloxirane	O1C(CCCC)C1
4-[(3-bromophenyl)methoxy]benzamide	NC(=O)c1ccc(OCc2cccc(Br)c2)cc1
4-[methyl(nitroso)amino]-1-(pyridin-3-yl)butan-1-one	O=C(c1cccnc1)CCCN(N=O)C
O-methyl-N-[(2S)-4-methyl-2-(sulfanylmethyl)pentanoyl]-L-tyrosine	O=C(O)C(NC(=O)C(CC(C)C)CS)Cc1ccc(OC)cc1
3-[(2-aminoethyl)disulfanyl]-L-alanine	O=C(O)C(N)CSSCCN
N-(6-aminopyridin-2-yl)-4-fluorobenzenesulfonamide	O=S(=O)(Nc1nc(ccc1)N)c2ccc(F)cc2
(4-hydroxypiperidin-1-yl)(1H-indol-3-yl)methanethione	S=C(c2c1ccccc1nc2)N3CCC(O)CC3
(2-hydroxyphenyl)(pyrrolidin-1-yl)methanethione	S=C(c1c(O)cccc1)N2CCCC2
2-(1H-indol-3-ylmethyl)-1H-imidazo[4,5-c]pyridine	n4ccc1c(nc(n1)Cc3c2ccccc2nc3)c4
N-[2-(1H-indol-3-ylmethyl)-1H-benzimidazol-5-yl]-L-prolinamide	O=C(Nc2ccc1nc(nc1c2)Cc4c3ccccc3nc4)C5NCCC5
3-[3-(1H-pyrrolo[2,3-b]pyridin-5-yl)phenyl]propanoic acid	O=C(O)CCc3cccc(c1cc2c(nc1)ncc2)c3
(2S)-hexane-1,2-diol	OCC(O)CCCC
3-(formylamino)-L-alanine	O=CNCC(N)C(=O)O
8-methyl-2-[(pyrimidin-2-ylsulfanyl)methyl]quinazolin-4(1H)-one	O=C2N=C(Nc1c(cccc12)C)CSc3ncccn3
(2Z)-4-[(3-carbamoylphenyl)amino]-4-oxobut-2-enoic acid	O=C(Nc1cc(ccc1)C(=O)N)/C=C\C(=O)O
(2E)-4-[(3-carbamoylphenyl)amino]-4-oxobut-2-enoic acid	O=C(Nc1cc(ccc1)C(=O)N)\C=C\C(=O)O
undecyl 4-O-alpha-D-glucopyranosyl-1-thio-beta-D-glucopyranoside	S(CCCCCCCCCCC)C2OC(C(OC1OC(CO)C(O)C(O)C1O)C(O)C2O)CO
8-phenylmethoxy-4~{H}-thieno[2,3-c]isoquinolin-5-one	O=C1Nc2sccc2c3cc(OCc4ccccc4)ccc13
(3R)-1-(naphthalen-2-ylsulfonyl)piperidine-3-carboxylic acid	O=S(=O)(c2cc1ccccc1cc2)N3CCCC(C(=O)O)C3
1-[3-tert-butyl-1-(4-methylphenyl)-1H-pyrazol-5-yl]urea	O=C(N)Nc2cc(nn2c1ccc(cc1)C)C(C)(C)C
N-(2-phenylethyl)quinazolin-4-amine	n2c1c(cccc1)c(nc2)NCCc3ccccc3
2-(pyridin-4-yl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one	O=C2c1cc(nc1CCN2)c3ccncc3
3-(3,4-dihydroisoquinolin-2(1H)-ylsulfonyl)benzoic acid	O=C(O)c1cc(ccc1)S(=O)(=O)N3Cc2c(cccc2)CC3
3-(3,4-dihydroisoquinolin-2(1H)-ylsulfonyl)-N-methylbenzamide	O=C(NC)c1cc(ccc1)S(=O)(=O)N3Cc2c(cccc2)CC3
4-[(5R)-5,6,7,8-tetrahydroimidazo[1,5-a]pyridin-5-yl]benzonitrile	N#Cc1ccc(cc1)C3n2cncc2CCC3
3-(hydroxyamino)-N-[(1R)-1-phenylethyl]-5-(trifluoromethyl)benzamide	FC(F)(F)c1cc(cc(NO)c1)C(=O)NC(c2ccccc2)C
3-nitro-N-[(1R)-1-phenylethyl]-5-(trifluoromethyl)benzamide	O=[N+]([O-])c1cc(cc(c1)C(F)(F)F)C(=O)NC(c2ccccc2)C
(3S)-3-(methylsulfanyl)-L-aspartic acid	O=C(O)C(N)C(SC)C(=O)O
N-(propylsulfonyl)-D-threonine	O=S(=O)(NC(C(=O)O)C(O)C)CCC
(3R)-5-fluoro-3-hydroxy-1,3-dihydro-2H-indol-2-one	c2cc1NC(=O)C(O)c1cc2F
N-(6-oxohexyl)-2-(4,5,6,7-tetrabromo-1H-benzimidazol-1-yl)acetamide	O=CCCCCCNC(=O)Cn1c2c(Br)c(Br)c(Br)c(Br)c2nc1
(2R)-2,5-diaminopentanoyl dihydrogen phosphate	O=P(OC(=O)C(N)CCCN)(O)O
Delta-Ru(phen)2(dppz) complex	n1c3c6c5c4c(c3nc2c1cccc2)cccn4[Ru]%10%14(n5ccc6)(n8c7c9c(ccc7ccc8)cccn9%10)n%12cccc%11ccc%13c(c%11%12)n%14ccc%13
N-(3-chlorophenyl)-6,7-dimethoxyquinazolin-4-amine	Clc1cccc(c1)Nc3ncnc2c3cc(OC)c(OC)c2
2-HYDROXYCYCLOHEPTA-2,4,6-TRIEN-1-ONE	OC1=CC=CC=CC1=O
6-chloroquinolin-2(1H)-one	Clc2ccc1c(C=CC(=O)N1)c2
L-URIDINE-5'-MONOPHOSPHATE	O=C1NC(=O)N(C=C1)C2OC(C(O)C2O)COP(=O)(O)O
2'-METHYLSELENYL-2'-DEOXY-L-URIDINE-5'-MONOPHOSPHATE	O=P(O)(O)OCC2OC(N1C(=O)NC(=O)C=C1)C([Se]C)C2O
N-[2,6-di(propan-2-yl)phenyl]-N'-(N-ethylcarbamimidoyl)urea	O=C(Nc1c(cccc1C(C)C)C(C)C)NC(=N)NCC
Ferrioxamine B	O=C2NCCCCCN5O[Fe]314(ON(C(=O1)CC2)CCCCCNC(=O)CCC(=O3)N(O4)CCCCCN)O=C5C
8-oxidanyl-4~{H}-thieno[2,3-c]isoquinolin-5-one	Oc1ccc2C(=O)Nc3sccc3c2c1
6-phenyl[1,2,4]triazolo[1,5-a]pyrazin-2-amine	n1c(cn2nc(nc2c1)N)c3ccccc3
