methyl hydrogen carbonate	O=C(O)OC
(1S,2S)-2-[(2R)-2-azanyl-4-phenyl-butyl]cyclopropan-1-amine	N[C@H](CCc1ccccc1)C[C@@H]2C[C@@H]2N
(2-hydroxyethoxy)acetaldehyde	O=CCOCCO
(3S)-7-methylsulfanyl-3-oxidanyl-hept-4-enoic acid	CSCC\C=C/[C@@H](O)CC(O)=O
1-(3-chloranyl-5-iodanyl-pyridin-2-yl)piperazine	Clc1cc(I)cnc1N2CCNCC2
(3beta,9beta,22R,25R)-3-hydroxyfurost-5-en-27-yl propanoate	O=C(OCC(C)CCC5OC4C(C3(C(C1C(C2(C(=CC1)CC(O)CC2)C)CC3)C4)C)C5C)CC
N~5~-(N-methoxycarbamimidoyl)-L-ornithine	O=C(O)C(N)CCCNC(=[N@H])NOC
(S)-2-(3-(6-amino-9H-purin-9-yl)propoxy)-3-phosphonopropanoic acid	Nc1ncnc2n(CCCO[C@H](C[P](O)(O)=O)C(O)=O)cnc12
(2S,3S,4R,5S)-2-(4-methoxyphenyl)-5-methylpyrrolidine-3,4-diol	OC2C(c1ccc(OC)cc1)NC(C)C2O
(3E)-6,7-dichloro-3-(hydroxyimino)-1,3-dihydro-2H-indol-2-one	Clc1ccc\2c(c1Cl)NC(=O)C/2=N\O
[(1E)-1-nitroprop-1-en-2-yl]benzene	O=N(=O)/C=C(/c1ccccc1)C
(2E)-N-benzyl-2-cyano-3-(pyridin-4-yl)prop-2-enamide	N#C/C(C(=O)NCc1ccccc1)=C\c2ccncc2
(2S)-2-cyano-3-(1H-indazol-5-yl)propanamide	N#CC(C(=O)N)Cc1cc2c(cc1)nnc2
1-[(6-aminopyridin-3-yl)methyl]-3-[4-(phenylsulfonyl)phenyl]urea	O=S(=O)(c1ccccc1)c2ccc(cc2)NC(=O)NCc3cnc(N)cc3
2-(2-aminopyridin-1-ium-1-yl)ethanol	Nc1ccccn1CCO
3-(benzoylamino)-2-hydroxybenzoic acid	O=C(O)c2cccc(NC(=O)c1ccccc1)c2O
1-[4-(piperidin-1-ylsulfonyl)phenyl]-3-(pyridin-3-ylmethyl)thiourea	O=S(=O)(c2ccc(NC(=S)NCc1cccnc1)cc2)N3CCCCC3
(2S)-2-hydroxy-4-methyl-pentanoic acid	O=C(O)C(O)CC(C)C
5,6,7,8-tetrahydrothieno[2,3-b]quinolin-4-amine	n1c3c(c(c2c1scc2)N)CCCC3
imidazo[1,2-a]pyridin-5-amine	n1ccn2c(cccc12)N
imidazo[1,2-a]pyridin-6-amine	n1ccn2cc(ccc12)N
1H-pyrrolo[3,2-b]pyridin-6-ylmethanol	n1cc(cc2c1ccn2)CO
(6R)-6-(pyridin-2-yl)-5,6-dihydrobenzimidazo[1,2-c]quinazoline	n2c1c(cccc1)n4c2c5c(NC4c3ncccc3)cccc5
6-HYDRO-1-METHYLADENOSINE-5'-MONOPHOSPHATE	P(O)(=O)(OCC1OC(C(C1O)O)n2cnc3\C(=N)N(C)C=Nc23)O
(2S)-2-AMINO-3-METHYLSULFANYL-BUTANOIC ACID	CS[C@@H](C)[C@@H](N)C(O)=O
1N-METHYLGUANOSINE-5'-MONOPHOSPHATE	O=C1c2ncn(c2N=C(N)N1C)C3OC(C(O)C3O)COP(=O)(O)O
2-(hydroxymethyl)butane-1,4-diol	OCCC(CO)CO
1H-pyrrolo[3,2-b]pyridine-6-carbaldehyde	O=Cc1cc2c(nc1)ccn2
(2S,5R,6S)-2-benzyl-5,6-bis(4-bromophenyl)-4-methylmorpholin-3-one	Brc1ccc(cc1)C3OC(C(=O)N(C3c2ccc(Br)cc2)C)Cc4ccccc4
(2S,5R,6S)-2-benzyl-5,6-bis(4-chlorophenyl)-4-methylmorpholin-3-one	Clc1ccc(cc1)C3OC(C(=O)N(C3c2ccc(Cl)cc2)C)Cc4ccccc4
N-[(4-methylpyrimidin-2-yl)carbamoyl]-2-nitrobenzenesulfonamide	O=C(Nc1nc(ccn1)C)NS(=O)(=O)c2ccccc2[N+]([O-])=O
3-{[2-(4-carboxyphenyl)ethyl]sulfamoyl}thiophene-2-carboxylic acid	O=S(=O)(c1c(scc1)C(=O)O)NCCc2ccc(C(=O)O)cc2
3-{[3-(4-carboxyphenyl)propyl]sulfamoyl}thiophene-2-carboxylic acid	O=S(=O)(c1c(scc1)C(=O)O)NCCCc2ccc(C(=O)O)cc2
1,1'-hexane-1,6-diyldipyrrolidine-2,5-dione	O=C1N(C(=O)CC1)CCCCCCN2C(=O)CCC2=O
1,1'-ethane-1,2-diyldipyrrolidine-2,5-dione	O=C1CCC(N1CCN2C(=O)CCC2=O)=O
(2R)-amino(1-hydroxy-4-propyl-1H-pyrazol-5-yl)ethanoic acid	O=C(O)C(c1c(cnn1O)CCC)N
(2R,4S)-2,4,7-trihydroxyheptanoic acid	O=C(O)C(O)CC(O)CCCO
2-(2-HYDROXY-CYCLOPENTYL)-PENT-4-ENAL	O=CC(C/C=C)C1CCCC1O
5-(4-carboxyphenoxy)-2-{[(4-methylphenyl)sulfonyl]amino}benzoic acid	O=S(=O)(Nc2ccc(Oc1ccc(C(=O)O)cc1)cc2C(=O)O)c3ccc(cc3)C
2-{[(4-bromo-2-fluorophenyl)sulfonyl]amino}-5-phenoxybenzoic acid	O=S(=O)(c1c(F)cc(Br)cc1)Nc3ccc(Oc2ccccc2)cc3C(=O)O
8-ethoxy-4~{H}-thieno[2,3-c]isoquinolin-5-one	CCOc1ccc2C(=O)Nc3sccc3c2c1
 7-alkylidenecephalosporin DCM-1-10, bound form 	O=S1(=O)C(C(=O)OC(C)(C)C)C(C=NC(=C(C1)COC(=O)C)C(=O)O)C=O
4-(1-methyl-1-phenylethyl)phenol	Oc1ccc(cc1)C(c2ccccc2)(C)C
8-methoxy-4~{H}-thieno[2,3-c]isoquinolin-5-one	COc1ccc2C(=O)Nc3sccc3c2c1
(2R,4S,5S)-5-amino-4-hydroxy-2,7-dimethyloctanoic acid	O=C(O)C(C)CC(O)C(N)CC(C)C
4-{bis[4-(dimethylamino)phenyl]methyl}phenol	Oc1ccc(cc1)C(c2ccc(N(C)C)cc2)c3ccc(N(C)C)cc3
2,3-dihydro-1H-inden-1-one	O=C2c1ccccc1CC2
O-(5-hydroxypentyl)-L-tyrosine	O=C(O)C(N)Cc1ccc(OCCCCCO)cc1
(2S)-(4-fluorophenyl)[6-(trifluoromethyl)pyridin-2-yl]ethanenitrile	FC(F)(F)c1nc(ccc1)C(C#N)c2ccc(F)cc2
[(R)-amino(4-carbamimidoylphenyl)methyl]phosphonic acid	O=P(O)(O)C(N)c1ccc(cc1)C(=[N@H])N
{(R)-amino[4-(1H-pyrazol-1-yl)phenyl]methyl}phosphonic acid	O=P(O)(O)C(c1ccc(cc1)n2nccc2)N
[(R)-amino(4-carbamimidamidophenyl)methyl]phosphonic acid	O=P(O)(O)C(c1ccc(NC(=[N@H])N)cc1)N
[(1R)-1-amino-4-carbamimidamidobutyl]phosphonic acid	O=P(O)(O)C(N)CCCNC(=[N@H])N
2-(1H-benzimidazol-1-ylmethyl)-4H-pyrido[1,2-a]pyrimidin-4-one	O=C2C=C(N=C1C=CC=CN12)Cn3c4ccccc4nc3
(3R)-1-ACETYL-3-METHYLPIPERIDINE	O=C(N1CCCC(C)C1)C
4-(carboxymethyl)-L-phenylalanine	O=C(O)C(N)Cc1ccc(cc1)CC(=O)O
1,4-DIPHENYL-2-BUTENE	C(=C/c1ccccc1)\CCc2ccccc2
1-(PHENYL-1-CYCLOHEXYL)PIPERIDINE	c1ccccc1C3(N2CCCCC2)CCCCC3
PENTAETHYLENE GLYCOL	O(CCO)CCOCCOCCOCCO
2-(2-{2-[2-(2-METHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHANOL	O(CCO)CCOCCOCCOCCOC
2-phenyl-N-[3-(3-sulfamoylphenyl)-2H-indazol-5-yl]acetamide	O=S(=O)(N)c4cccc(c1c2cc(ccc2nn1)NC(=O)Cc3ccccc3)c4
(3R)-3-[(2S)-2-amino-3-oxopropyl]piperidine-1-carboximidamide	O=CC(N)CC1CCCN(C(=[N@H])N)C1
1-(4-methoxyphenyl)cyclopropanecarboxylic acid	O=C(O)C2(c1ccc(OC)cc1)CC2
1-(3-tert-butyl-1-phenyl-1H-pyrazol-5-yl)-3-(2,3-dichlorophenyl)urea	Clc1cccc(c1Cl)NC(=O)Nc3cc(nn3c2ccccc2)C(C)(C)C
(4S)-N~4~-(6-methoxyquinolin-8-yl)pentane-1,4-diamine	COc1cc(N[C@@H](C)CCCN)c2ncccc2c1
CYCLOHEXANE-1(R),2(R)-DIAMINE-PLATINUM(II)	[Pt+2]1NC2C(N1)CCCC2
2-OXO-3-PHENYLPROPIONIC ACID	O=C(C(=O)O)Cc1ccccc1
(4R,6Z)-6-(3-fluoro-4-hydroxyphenyl)-4-hydroxy-6-iminohexan-2-one	Fc1cc(C(=[N@H])CC(O)CC(=O)C)ccc1O
4-(cyclohexylamino)pyrido[3,4-d]pyrimidin-8(7H)-one	O=C1c2ncnc(c2C=CN1)NC3CCCCC3
N-(hydroxymethyl)benzamide	O=C(NCO)c1ccccc1
N-(2-ethoxy-3,5-dimethylbenzyl)-1H-tetrazol-5-amine	n1nnnc1NCc2c(OCC)c(cc(c2)C)C
N-(4,7-dihydro-1H-inden-6-yl)acetamide	O=C(NC2=CCC=1C=CCC=1C2)C
N,N'-(ethane-1,2-diyldibenzene-3,1-diyl)dithiophene-2-carboximidamide	s1cccc1C(=[N@H])Nc2cccc(c2)CCc3cc(ccc3)NC(=[N@H])c4sccc4
{4-[3-(4-fluorophenyl)-1H-pyrazol-4-yl]pyridin-2-yl}methanol	Fc3ccc(c1nncc1c2ccnc(c2)CO)cc3
N-benzyl-4-(pyridin-3-yl)pyrimidin-2-amine	n1c(ccnc1NCc2ccccc2)c3cccnc3
ethyl pyrazolo[1,5-a]pyridine-3-carboxylate	O=C(OCC)c1c2ccccn2nc1
(3S)-3-methyl-2-oxopentanoic acid	O=C(C(=O)O)C(C)CC
(2R)-2,3-dihydroxypropyl dodecanoate	O=C(OCC(O)CO)CCCCCCCCCCC
dodecyl hydrogen (S)-(3-azidopropyl)phosphonate	[N-]=[N+]=N\CCCP(=O)(OCCCCCCCCCCCC)O
tetradecyl hydrogen (R)-(3-azidopropyl)phosphonate	[N-]=[N+]=N\CCCP(=O)(OCCCCCCCCCCCCCC)O
hexadecyl hydrogen (R)-(3-azidopropyl)phosphonate	[N-]=[N+]=N\CCCP(=O)(OCCCCCCCCCCCCCCCC)O
3-hydroxy-5-(3-nitrophenoxy)benzoic acid	O=C(O)c2cc(Oc1cccc(c1)[N+]([O-])=O)cc(O)c2
L-gamma-glutamyl-S-[2-(4-nitrophenyl)-2-oxoethyl]-L-cysteinylglycine	O=[N+]([O-])c1ccc(C(=O)CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)cc1
7-(4-fluorophenyl)-3-hydroxyquinolin-2(1H)-one	Fc3ccc(c1ccc2c(c1)NC(=O)C(O)=C2)cc3
1-ALPHA-D-RIBOFURANOSYL-BENZIMIAZOLE-5'-PHOSPHATE	O=P(O)(O)OCC3OC(n2cnc1ccccc12)C(O)C3O
vanadium(5+) hydroxide 2-(2-hydroxyethoxy)ethanolate (1:4:1)	O[V](OCCOCCO)(O)(O)O
1-(piperidin-4-yl)-1,6-dihydroimidazo[4,5-d]pyrrolo[2,3-b]pyridine	n4c1nccc1c2c(ncn2C3CCNCC3)c4
4-amino-2-oxo-1,2-dihydropyrimidine-5-carboxylic acid	O=C1N=C(N)C(C(=O)O)=CN1
Lamivudine Triphosphate	NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O2
alpha-muramic acid	O=C(O)C(OC1C(O)C(OC(O)C1N)CO)C
5-(4-amino-2-methylphenoxy)-2-hexyl-4-hydroxy-1-methylpyridinium	O(c1c[n+](c(cc1O)CCCCCC)C)c2ccc(N)cc2C
5'-O-THIOPHOSPHONOCYTIDINE	O=P(O)(S)OCC2OC(N1C(=O)N=C(N)C=C1)C(O)C2O
(1S)-1,5-anhydro-1-sulfamoyl-D-galactitol	O=S(=O)(N)C1OC(C(O)C(O)C1O)CO
N-{4-[(4-hydroxy-3-nitrobenzoyl)amino]phenyl}pyridine-2-carboxamide	O=C(Nc2ccc(NC(=O)c1ccc(O)c([N+]([O-])=O)c1)cc2)c3ncccc3
1-(3-nitrophenyl)dihydropyrimidine-2,4(1H,3H)-dione	[O-][N+](=O)c1cc(ccc1)N2C(=O)NC(=O)CC2
2-(methylamino)ethyl dihydrogen phosphate	O=P(OCCNC)(O)O
(2S)-pentane-1,2-diol	OCC(O)CCC
(1R,4aS,7S,8aR)-1,4a-dimethyl-7-(prop-1-en-2-yl)decahydroquinolinium	C=C(\C1CCC2(C(C1)[NH+](C)CCC2)C)C
stearoyl adenylate	CCCCCCCCCCCCCCCCCC(=O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
N-(pyren-1-yl)acetamide	O=C(Nc4ccc2ccc1cccc3c1c2c4cc3)C
Triamcinolone acetonide	C1(=O)C=CC2(C)C(=C1)CCC3C2(C(O)CC4(C)C3CC5C4(C(CO)=O)OC(C)(C)O5)F
3-[(E)-(2-oxidanylidene-1H-indol-3-ylidene)methyl]benzoic acid	O=C(O)c1cccc(c1)\C=C3/c2ccccc2NC3=O
palmitoyl adenylate	CCCCCCCCCCCCCCCC(=O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
1,8-dihydroxy-3-methyltetraphene-6,7,12(5H)-trione	O=C2C4=C(C(=O)c1c(O)cccc12)C(=O)Cc3cc(cc(O)c34)C
4,4'-(3-amino-1H-pyrazole-4,5-diyl)diphenol	Oc3ccc(c2c(c1ccc(O)cc1)c(nn2)N)cc3
5-hexyl-2-(2-nitrophenoxy)phenol	[O-][N+](=O)c2c(Oc1ccc(cc1O)CCCCCC)cccc2
6-(FORMYLAMINO)-7-HYDROXY-L-TRYPTOPHAN	O=C(O)C(N)Cc2c1ccc(c(O)c1nc2)NC=O
4-(3,5-difluoro-4-hydroxybenzyl)-1,2-dimethyl-1H-imidazol-5-ol	Fc1cc(cc(F)c1O)Cc2nc(n(c2O)C)C
(2S)-2-amino-7-methoxy-7-oxoheptanoic acid	O=C(OC)CCCCC(C(=O)O)N
5-chloro-3-sulfamoylthiophene-2-carboxylic acid	O=S(=O)(c1c(sc(Cl)c1)C(=O)O)N
6-[(phenylcarbamoyl)amino]naphthalene-2-carboximidamide	O=C(Nc1ccccc1)Nc3cc2ccc(C(=[N@H])N)cc2cc3
N-{[3-(2-chlorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}glycine	O=C(O)CNC(=O)c2c(onc2c1c(Cl)cccc1)C
1,3-diethyl-2-thioxodihydropyrimidine-4,6(1H,5H)-dione	S=C1N(C(=O)CC(=O)N1CC)CC
(4R,4aS,8aS)-4-phenyldecahydroquinolin-4-ol	OC2(c1ccccc1)C3C(NCC2)CCCC3
(3S)-3-amino-5-[(2,6-dimethylbenzoyl)oxy]-4-oxopentanoic acid	O=C(O)CC(N)C(=O)COC(=O)c1c(cccc1C)C
(2E)-2-amino-3-[(1E)-3-oxoprop-1-en-1-yl]but-2-enedioic acid	O=C(O)C(=C(/C=C\C=O)C(=O)O)/N
2-amino-5-(phenylsulfanyl)-3,9-dihydro-4H-pyrimido[4,5-b]indol-4-one	O=C3c4c2c(Sc1ccccc1)cccc2nc4N=C(N)N3
methyl 2-(acetylamino)-1,3-benzothiazole-6-carboxylate	O=C(OC)c1ccc2nc(sc2c1)NC(=O)C
2-[(7-carbamimidoyl-2-methoxynaphthalen-1-yl)oxy]acetamide	O=C(N)COc1c2c(ccc1OC)ccc(c2)C(=[N@H])N
4-(4-oxo-4H-chromen-2-yl)benzoic acid	O=C(O)c3ccc(C=2Oc1ccccc1C(=O)C=2)cc3
2-(2-chloranylphenoxy)-5-hexyl-phenol	Clc2ccccc2Oc1ccc(cc1O)CCCCCC
2-[4-(dimethylamino)phenyl]-4H-chromen-4-one	O=C1c3c(OC(=C1)c2ccc(N(C)C)cc2)cccc3
ethyl 4-(4-oxo-4H-chromen-2-yl)benzoate	O=C(OCC)c3ccc(C=2Oc1ccccc1C(=O)C=2)cc3
4-(4-oxo-4H-chromen-2-yl)benzonitrile	N#Cc3ccc(C=2Oc1ccccc1C(=O)C=2)cc3
2-(4-nitrophenyl)-4H-chromen-4-one	[O-][N+](=O)c3ccc(C=2Oc1ccccc1C(=O)C=2)cc3
2-(4-chlorophenyl)-4H-chromen-4-one	Clc3ccc(C=2Oc1ccccc1C(=O)C=2)cc3
4-(4-benzylphenyl)-1,3-thiazol-2-amine	n3c(c1ccc(cc1)Cc2ccccc2)csc3N
2-(1,3-benzodioxol-5-yl)-4H-chromen-4-one	O=C1c4c(OC(=C1)c3ccc2OCOc2c3)cccc4
2-{4-[(4-methylpiperazin-1-yl)carbonyl]phenyl}-4H-chromen-4-one	O=C(N1CCN(C)CC1)c4ccc(C=3Oc2ccccc2C(=O)C=3)cc4
2-[4-(1H-tetrazol-5-yl)phenyl]-4H-chromen-4-one	O=C1c4c(OC(=C1)c3ccc(c2nnnn2)cc3)cccc4
ethyl 2-[3-[(4-azanyl-1,2,5-oxadiazol-3-yl)carbonyl]phenoxy]ethanoate	O=C(c1cccc(OCC(=O)OCC)c1)c2nonc2N
(4-azanyl-1,2,5-oxadiazol-3-yl)-phenyl-methanone	O=C(c1ccccc1)c2nonc2N
N-(phenylacetyl)glycyl-N~6~-acetyl-L-lysine	O=C(NCC(=O)NC(C(=O)O)CCCCNC(=O)C)Cc1ccccc1
2-(2-methyl-5-nitro-1H-imidazol-1-yl)ethyl sulfamate	[O-][N+](=O)c1cnc(n1CCOS(=O)(=O)N)C
(3R)-3-amino-4-methylpentanoic acid	O=C(O)CC(N)C(C)C
propionyl Coenzyme A	O=C(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3OP(=O)(O)O)CC
4-(pyrrolidin-1-yl)-1-{4-[2-(pyrrolidin-1-yl)ethyl]phenyl}piperidine	N4(c1ccc(cc1)CCN2CCCC2)CCC(N3CCCC3)CC4
5-methoxybenzene-1,3-dicarboxylic acid	O=C(O)c1cc(OC)cc(C(=O)O)c1
4-(2-chlorophenyl)-5-methyl-1H-pyrazole	Clc1ccccc1c2c(nnc2)C
3-sulfanylpyridine-2-carboxylic acid	O=C(O)c1ncccc1S
(2S)-1-phenylpropan-2-amine	NC(Cc1ccccc1)C
4-[(2S)-2-(methylamino)propyl]phenol	Oc1ccc(cc1)CC(NC)C
2,5-dihydroxycyclohexa-2,5-diene-1,4-dione	O=C1C(O)=CC(=O)C(O)=C1
(5beta)-11-hydroxyabieta-7,9(11),13-triene-6,12-dione	O=C2C(=CC1=CC(=O)C3C(C1=C2O)(CCCC3(C)C)C)C(C)C
(3S)-1-(4,4-diphenylbut-3-enyl)piperidine-3-carboxylic acid	OC(=O)[C@H]1CCCN(CCC=C(c2ccccc2)c3ccccc3)C1
6-[4-(aminomethyl)-2-fluorophenoxy]-2,1-benzoxaborol-1(3H)-ol	Fc3cc(ccc3Oc2ccc1c(B(O)OC1)c2)CN
(2S)-2,3-dihydroxypropyl (7Z)-tetradec-7-enoate	O=C(OCC(O)CO)CCCCC/C=C/CCCCCC
{5-chloro-2-[(4-iodobenzyl)carbamoyl]phenoxy}acetic acid	O=C(c1c(OCC(=O)O)cc(Cl)cc1)NCc2ccc(I)cc2
(2S)-2-aminooct-7-enoic acid	O=C(O)C(N)CCCC/C=C
3,4-dihydroisoquinoline-2(1H)-carboxylic acid	O=C(O)N2Cc1c(cccc1)CC2
2,3-dideoxy-5-O-phosphono-alpha-D-ribofuranose	O=P(OCC1OC(O)CC1)(O)O
O-[(2E)-3-AMINOPROP-2-ENOYL]-L-SERINE	O=C(OCC(C(=O)O)N)\C=C\N
4-amino-2-bromothieno[3,2-c]pyridine-7-carboxamide	O=C(c2c1sc(Br)cc1c(nc2)N)N
4-aminothieno[3,2-c]pyridine-2,7-dicarboxamide	O=C(c2c1sc(cc1c(nc2)N)C(=O)N)N
2-{[(carbamoylsulfanyl)acetyl]amino}benzoic acid	O=C(Nc1ccccc1C(=O)O)CSC(=O)N
(3R,7E,10E)-3-hydroxy-4-oxododeca-7,10-dienamide	O=C(CC/C=C/C/C=C/C)C(O)CC(=O)N
4-amino-1,7-dihydro-6H-pyrazolo[3,4-d]pyrimidine-6-thione	S=C1N=C(c2c(N1)nnc2)N
5-(3-chloro-4-fluorophenyl)furan-2-carboxylic acid	Fc1ccc(cc1Cl)c2oc(C(=O)O)cc2
(2R)-4-hydroxy-2,5-dimethylfuran-3(2H)-one	O=C1C(O)=C(OC1C)C
(4R)-3,4-dihydro-2H-chromen-4-amine	O2c1ccccc1C(N)CC2
(2S)-amino(4,4-difluorocyclohexyl)ethanoic acid	FC1(F)CCC(C(C(=O)O)N)CC1
(3S,7R,8aR)-7-ethoxyoctahydropyrrolo[1,2-a]pyrazine-3-carboxylic acid	O=C(O)C1NCC2N(C1)CC(OCC)C2
(3S,8aR)-octahydropyrrolo[1,2-a]pyrazine-3-carboxylic acid	O=C(O)C2NCC1N(CCC1)C2
(1R)-1,2,3,4-tetrahydronaphthalen-1-amine	c1ccc2c(c1)CCCC2N
4-fluorobenzoic acid	Fc1ccc(C(=O)O)cc1
(2R,3R,4S,5R,6S)-2,3,4,5,6,7-hexahydroxyheptyl dihydrogen phosphate	O=P(OCC(O)C(O)C(O)C(O)C(O)CO)(O)O
2-(trimethyl-lambda~5~-arsanyl)ethanol	OCC[As](C)(C)C
vibralactone, bound form	O=CC1(C=C(CC1O)CO)C\C=C(/C)C
(5,6-dimethyl-9-oxo-9H-xanthen-4-yl)acetic acid	O=C(O)Cc3cccc1c3Oc2c(C1=O)ccc(c2C)C
territrem B	O=C4OC(c1cc(OC)c(OC)c(OC)c1)=CC=5OC3(C(O)(C2(C(=O)C=CC(C2(O)CC3)(C)C)C)CC4=5)C
Dihydrotanshinone I	O=C2c3c(C=1OCC(C=1C2=O)C)ccc4c(cccc34)C
