methyl hydrogen carbonate	O=C(O)OC
3-[(2-methylbenzyl)sulfanyl]-4H-1,2,4-triazol-4-amine	S(c1nncn1N)Cc2ccccc2C
N-[(2R)-2-(4'-cyanobiphenyl-4-yl)propyl]propane-2-sulfonamide	N#Cc2ccc(c1ccc(cc1)C(CNS(=O)(=O)C(C)C)C)cc2
4-(4-fluorophenyl)-3-methyl-1H-pyrazole	Fc2ccc(c1cnnc1C)cc2
4-phenyl-3-(trifluoromethyl)-1H-pyrazole	FC(F)(F)c2nncc2c1ccccc1
N-[(1S)-1-benzyl-3-diazen-1-iumylidene-2-oxopropyl]glycinamide	[N-]=[N+]=C\C(=O)C(NC(=O)CN)Cc1ccccc1
(4-azanyl-1,2,5-oxadiazol-3-yl)-(3-methoxyphenyl)methanone	O=C(c1cccc(OC)c1)c2nonc2N
5,6-bis(4-fluorophenyl)pyridine-2,3-diol	Fc3ccc(c2nc(O)c(O)cc2c1ccc(F)cc1)cc3
N-[(4-cyanophenyl)methyl]methanethioamide	N#Cc1ccc(cc1)CNC=S
5'-O-[(S)-(dodecanoyloxy)(hydroxy)phosphoryl]adenosine	O=P(OC(=O)CCCCCCCCCCC)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3O
3-AMIDO-5-BIPHENYL-BENZOIC ACID	O=C(c3cc(c2ccc(c1ccccc1)cc2)cc(c3)C(=O)O)N
BROMIC ACID	O=Br(=O)O
1,5-DIHYDROIMIDAZO[4,5-C][1,2,6]THIADIAZIN-4(3H)-ONE 2,2-DIOXIDE	O=C2c1c(ncn1)NS(=O)(=O)N2
2-AMINO-4-HYDROXYPYRIMIDINE-5-CARBOXYLIC ACID ETHYL ESTER	O=C(OCC)c1cnc(nc1O)N
2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID	Clc3cccc(Cl)c3c1nc2ccc(cc2o1)C(=O)O
2-(3-hydroxyphenyl)-4H-chromen-4-one	O=C1c3c(OC(=C1)c2cccc(O)c2)cccc3
2-(4-fluorophenyl)-4H-chromen-4-one	Fc3ccc(C=2Oc1ccccc1C(=O)C=2)cc3
(2beta,3beta,5beta,22R)-2,3,14,20,22,25-hexahydroxycholest-7-en-6-one	O=C1C=C3C(C2(CC(O)C(O)CC12)C)CCC4(C)C(C(O)(C)C(O)CCC(O)(C)C)CCC34O
7-chloro-3-methyl-2H-1,2,4-benzothiadiazine 1,1-dioxide	Clc1ccc2N=C(NS(=O)(=O)c2c1)C
(4-phenoxyphenyl)methylazanium	O(c1ccccc1)c2ccc(cc2)C[NH3+]
N-[4-(acetylamino)phenyl]cyclopropanecarboxamide	O=C(Nc1ccc(NC(=O)C)cc1)C2CC2
(1S,2S)-2-phenyl-N-(pyridin-4-yl)cyclopropanecarboxamide	O=C(Nc1ccncc1)C3CC3c2ccccc2
N-[4-(phenylsulfonyl)benzyl]-2H-pyrazolo[3,4-b]pyridine-5-carboxamide	O=S(=O)(c1ccccc1)c2ccc(cc2)CNC(=O)c3cc4cnnc4nc3
BETA-D-FRUCTOFURANOSYL 6-O-OCTANOYL-ALPHA-D-GLUCOPYRANOSIDE	O=C(OCC2OC(OC1(OC(C(O)C1O)CO)CO)C(O)C(O)C2O)CCCCCCC
4-(acetylamino)-N-[2-amino-5-(thiophen-2-yl)phenyl]benzamide	O=C(Nc1ccc(cc1)C(=O)Nc2c(N)ccc(c2)c3sccc3)C
2,2',2''-NITRILOTRIETHANOL	OCCN(CCO)CCO
(2S)-HEX-5-ENE-1,2-DIOL	OCC(O)CC\C=C
cyclohexylmethyl 2-formylphenyl hydrogen (S)-phosphate	c1ccc(c(c1)OP(O)(OCC2CCCCC2)=O)C=O
6-(4-fluorophenyl)-5-[4-(1H-tetrazol-5-yl)phenyl]pyridine-2,3-diol	Fc1ccc(cc1)c4nc(O)c(O)cc4c3ccc(c2nnnn2)cc3
naphthalene-1,5-disulfonic acid	O=S(=O)(O)c1cccc2c1cccc2S(=O)(=O)O
5-amino-1-tert-butyl-3-(quinolin-2-yl)-1H-pyrazole-4-carboxamide	O=C(c3c(N)n(nc3c1nc2c(cc1)cccc2)C(C)(C)C)N
N-{1-[N-(2,4-dichlorophenyl)glycyl]piperidin-4-yl}ethanesulfonamide	O=C(N1CCC(NS(=O)(=O)CC)CC1)CNc2ccc(Cl)cc2Cl
N-{1-[(2,4-dichlorophenoxy)acetyl]piperidin-4-yl}ethanesulfonamide	O=C(N1CCC(NS(=O)(=O)CC)CC1)COc2ccc(Cl)cc2Cl
4-[4-(2-adamantylcarbamoyl)-5-tert-butyl-pyrazol-1-yl]benzoic acid	O=C(O)c1ccc(cc1)n2ncc(c2C(C)(C)C)C(=O)NC5C3CC4CC(C3)CC5C4
D-leucyl-N-(3-chlorobenzyl)-L-prolinamide	O=C(NCc1cccc(Cl)c1)C2N(C(=O)C(N)CC(C)C)CCC2
3-[(4-amino-5-benzoyl-1,3-thiazol-2-yl)amino]benzenesulfonamide	O=S(=O)(c3cc(Nc1nc(c(s1)C(=O)c2ccccc2)N)ccc3)N
1-{4-[(2,4-dichlorophenoxy)acetyl]piperazin-1-yl}propan-1-one	O=C(N1CCN(C(=O)CC)CC1)COc2ccc(Cl)cc2Cl
4-{[(2-amino-4-oxo-3,4-dihydropteridin-6-yl)methyl]amino}benzoic acid	O=C(O)c1ccc(cc1)NCc3nc2c(N=C(N)NC2=O)nc3
(4-fluorophenyl)(pyridin-4-yl)methanone	O=C(c1ccc(F)cc1)c2ccncc2
N-[(2S)-2-amino-3-phenylpropyl]-L-tyrosine	O=C(O)C(NCC(N)Cc1ccccc1)Cc2ccc(O)cc2
(3E,5R)-5-fluoro-6-(2-fluorophenyl)-2,6-dioxohex-3-enoic acid	O=C(c1ccccc1F)C(F)\C=C\C(=O)C(=O)O
5-phenylthieno[2,3-d]pyrimidin-4(3H)-one	O=C2NC=Nc1scc(c12)c3ccccc3
2-(2-METHYLPHENYL)-1H-INDOLE-6-CARBOXIMIDAMIDE	[N@H]=C(c1ccc2c(c1)nc(c2)c3ccccc3C)N
(2R)-2-(aminomethyl)-2-hydroxy-4-phenylbutanoic acid	O=C(O)C(O)(CCc1ccccc1)CN
2-(2-methyl-5-phenyl-1H-indole-3-yl)ethan-1-amine	Cc1[nH]c2ccc(cc2c1CCN)c3ccccc3
7-chloranyl-6-[(3S)-pyrrolidin-3-yl]oxy-2H-isoquinolin-1-one	O=C3NC=Cc2cc(OC1CCNC1)c(Cl)cc23
D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide	O=C(NCc1cccc(Cl)c1)C3N(C(=O)C(N)Cc2ccccc2)CCC3
4-(hexylamino)-5-nitro-2-[(pyridin-3-ylmethyl)amino]benzamide	[O-][N+](=O)c2c(NCCCCCC)cc(NCc1cccnc1)c(C(=O)N)c2
6-[(Z)-AMINO(IMINO)METHYL]-N-[4-(AMINOMETHYL)PHENYL]-2-NAPHTHAMIDE	O=C(Nc1ccc(cc1)CN)c3cc2ccc(C(=[N@H])N)cc2cc3
(2S,3R)-2,3-dihydroxy-2-methylbutanoic acid	O=C(O)C(O)(C)C(O)C
(2Z)-2-AMINO-3-PHENYLACRYLIC ACID	O=C(O)C(/N)=C/c1ccccc1
oxo(2-sulfanylphenyl)acetic acid	O=C(c1ccccc1S)C(=O)O
2-(3-METHYLPHENYL)-1H-INDOLE-5-CARBOXIMIDAMIDE	[N@H]=C(c1cc2c(cc1)nc(c2)c3cccc(c3)C)N
(2R)-2-benzyl-3-nitropropanoic acid	[O-][N+](=O)CC(C(=O)O)Cc1ccccc1
3-(propanoylamino)-L-alanine	O=C(NCC(N)C(=O)O)CC
(S)-2-AMINO-3-(6H-SELENOLO[2,3-B]-PYRROL-4-YL)-PROPIONIC ACID	O=C(O)C(N)Cc2c1cc[se]c1nc2
2',3'-DIDEOXY-THYMIDINE-5'-TRIPHOSPHATE	CC1=CN([C@H]2CC[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)O2)C(=O)NC1=O
beta-phenyl-D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide	O=C(NCc1cccc(Cl)c1)C4N(C(=O)C(N)C(c2ccccc2)c3ccccc3)CCC4
methyl 2-(hydroxymethyl)prop-2-enoate	O=C(OC)/C(=C)CO
(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid	O=C(O)CCCCCCC/C=C\C=C\C(O)CCCCC
[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE	N#CCc3cc(O)cc1c3oc(c1)c2ccc(O)cc2
1-(2-chloropyridin-4-yl)-3-phenylurea	Clc2nccc(NC(=O)Nc1ccccc1)c2
1-benzyl-3-(2-chloropyridin-4-yl)urea	Clc2nccc(NC(=O)NCc1ccccc1)c2
(3R)-3-amino-2,2-difluoro-3-(4-hydroxyphenyl)propanoic acid	O=C(O)C(F)(F)C(N)c1ccc(O)cc1
(2,4-DIFLUOROPHENYL)METHANOL	Fc1cc(F)ccc1CO
N-(2,4-dichlorobenzyl)-4-(pyrimidin-2-yloxy)piperidine-1-carboxamide	Clc1ccc(CNC(=O)N2CCC(CC2)Oc3ncccn3)c(Cl)c1
3-(4-hydroxybenzyl)-1-(thiophen-2-yl)chromeno[2,3-c]pyrrol-9(2H)-one	O=C1c4c(Oc2ccccc12)c(nc4c3sccc3)Cc5ccc(O)cc5
uridine-5'-diphosphate-3-O-(R-3-hydroxymyristoyl)-glucosamine	O=C1C=CN(C(=O)N1)C2OC(C(O)C2O)COP(=O)(OP(=O)(OC3OC(C(O)C(OC(=O)CC(O)CCCCCCCCCCC)C3N)CO)O)O
(2S)-2-{[HYDROXY(4-IODOBENZYL)PHOSPHORYL]METHYL}PENTANEDIOIC ACID	Ic1ccc(cc1)CP(=O)(O)CC(C(=O)O)CCC(=O)O
(2R)-2-[(4-benzylphenoxy)methyl]pyrrolidine	O(c1ccc(cc1)Cc2ccccc2)CC3NCCC3
1-butanoyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	O=C(NCc1ccc(C(=[N@H])N)cc1)C2N(C(=O)CCC)CCC2
N-[amino(imino)methyl]-2-(2,5-diphenyl-1H-pyrrol-1-yl)acetamide	O=C(NC(=[N@H])N)Cn2c(ccc2c1ccccc1)c3ccccc3
(1-HYDROXYNONANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	O=P(O)(O)C(O)(CCCCCCCC)P(=O)(O)O
10,11-dimethoxy-4-methyldibenzo[c,f]-2,7-naphthyridine-3,6-diamine	n2c1cc(OC)c(OC)cc1c4c(c2)c(nc3c(c(N)ccc34)C)N
PHENYL(SULFO)ACETIC ACID	O=S(=O)(O)C(C(=O)O)c1ccccc1
(2-chloroethoxy)benzene	2-chloroethyl
1-(methylsulfanyl)-4-nitrobenzene	methyl
5'-O-MONOPHOSPHORYLADENYLYL(2'->5')ADENYLYL(2'->5')ADENOSINE	O=P(O)(O)OCC9OC(n1c2ncnc(N)c2nc1)C(OP(=O)(O)OCC8OC(n4cnc3c(ncnc34)N)C(OP(=O)(O)OCC7OC(n5c6ncnc(N)c6nc5)C(O)C7O)C8O)C9O
2-(4-bromophenyl)-3,4-dihydroquinazolin-4-one	Brc3ccc(C2=Nc1c(cccc1)C(=O)N2)cc3
(3,5-di-tert-butylphenyl)boronic acid	OB(O)c1cc(cc(c1)C(C)(C)C)C(C)(C)C
5-methyl-7-phenyl[1,2,4]triazolo[1,5-a]pyrimidin-2-amine	n2c(cc(c1ccccc1)n3nc(nc23)N)C
N-[3-(2-methyl-1-oxidoquinolin-4-yl)phenyl]acetamide	O=C(Nc3cccc(c2c1c(cccc1)[n+]([O-])c(c2)C)c3)C
(1R,2S,3S,4R,5S)-5-aminocyclohexane-1,2,3,4-tetrol	OC1CC(N)C(O)C(O)C1O
1-(sulfamoylamino)methyl-1,2-dicarba-closo-dodecaborane	N[S](=O)(=O)NC[C]1234[B]567[B]89%10[B]%11%12%13[B]58%14[B]%11%15%16[B]%12%17%18[B]9%13%19[B]16%10[B]2%17%19[C]3%15%18[B]47%14%16
1-(sulfamoylamino)methyl-1,7-dicarba-closo-dodecaborane	N[S](=O)(=O)NC[C]1234[B]567[B]89%10[B]5%11%12[B]8%13%14[B]9%15%16[B]16%10[B]2%15%17[B]3%18%19[B]%11%13([B]47%12%18)[C]%14%16%17%19
2-(bromomethyl)-1,3-difluorobenzene	BrCc1c(F)cccc1F
2-FORMYLPHENYL DIHYDROGEN PHOSPHATE	O=P(Oc1ccccc1C=O)(O)O
1-(azidomethyl)-3-methylbenzene	3-methylbenzyl
(phenylamino)acetonitrile	N#CCNc1ccccc1
2-(propylsulfanyl)ethanol	OCCSCCC
(1R)-3-chloro-1-phenylpropan-1-ol	ClCCC(O)c1ccccc1
7-(sulfamoylamino)methyl-7,8-dicarba-nido-undecaborane	N[S](=O)(=O)NC[C+]123[B-]45[B-]67[B+]89[C@@]1%10[B]8%11%12[B]69%13[B]47%14[B]25%15[B]3%10%11[B]%12%13%14%15
2-{3-[(4-amino-2-methylpyrimidin-5-yl)methyl]phenyl}ethanol	n1c(N)c(cnc1C)Cc2cccc(c2)CCO
N-[(biphenyl-4-yloxy)acetyl]-beta-D-glucopyranosylamine	O=C(NC1OC(C(O)C(O)C1O)CO)COc3ccc(c2ccccc2)cc3
2-AMINO-6-OXOPIMELIC ACID	O=C(O)C(=O)CCCC(N)C(=O)O
N-[(2E)-3-(biphenyl-4-yl)prop-2-enoyl]-beta-D-glucopyranosylamine	O=C(NC1OC(C(O)C(O)C1O)CO)\C=C\c3ccc(c2ccccc2)cc3
(3R)-3-hydroxy-2,4-dioxopentyl dihydrogen phosphate	O=P(OCC(=O)C(O)C(=O)C)(O)O
N-(4-carbamimidoylbenzyl)-1-(4-methylpentanoyl)-L-prolinamide	O=C(NCc1ccc(C(=[N@H])N)cc1)C2N(C(=O)CCC(C)C)CCC2
N-[(3R)-3-(4-ethylphenyl)butanoyl]-beta-D-glucopyranosylamine	O=C(NC1OC(C(O)C(O)C1O)CO)CC(c2ccc(cc2)CC)C
4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL	n2oc1cc(O)ccc1c2c3ccc(O)cc3O
1-(1-methyl-1H-pyrrol-2-yl)methanamine	NCc1cccn1C
(Z)-2-[2-(4-methylpiperazin-1-yl)benzyl]diazenecarbothioamide	S=C(/N=N\Cc2c(N1CCN(C)CC1)cccc2)N
1-bromonaphthalene-2-carboxylic acid	O=C(O)c2ccc1ccccc1c2Br
4-(4-OXO-1,4-DIHYDROQUINAZOLIN-2-YL)BENZONITRILE	N#Cc3ccc(C2=Nc1c(cccc1)C(=O)N2)cc3
benzyl butyl benzene-1,2-dicarboxylate	O=C(OCc1ccccc1)c2ccccc2C(=O)OCCCC
butyl 4-hydroxybenzoate	O=C(OCCCC)c1ccc(O)cc1
4-(2,4,4-trimethylpentan-2-yl)phenol	Oc1ccc(cc1)C(CC(C)(C)C)(C)C
bis(2,4-dihydroxyphenyl)methanone	O=C(c1ccc(O)cc1O)c2ccc(O)cc2O
4,4'-(2,2,2-trichloroethane-1,1-diyl)diphenol	ClC(Cl)(Cl)C(c1ccc(O)cc1)c2ccc(O)cc2
(2R)-2-(4-cyclohexylnaphthalen-1-yl)propanoic acid	O=C(O)C(c2ccc(c1ccccc12)C3CCCCC3)C
1-[2-(4-benzylphenoxy)ethyl]pyrrolidine	O(c1ccc(cc1)Cc2ccccc2)CCN3CCCC3
[2-amino-3-(4-bromobenzoyl)phenyl]acetic acid	O=C(c1ccc(Br)cc1)c2cccc(c2N)CC(=O)O
N-(4-carbamimidoylbenzyl)-1-(3-phenylpropanoyl)-L-prolinamide	O=C(NCc1ccc(C(=[N@H])N)cc1)C3N(C(=O)CCc2ccccc2)CCC3
(3R,4S,5S)-5-amino-3,7-dimethyloctan-4-ol	OC(C(CC)C)C(N)CC(C)C
AMMOSAMIDE 272	O=C(OC)c2nc1c(cc(N)c3c1c(c2)C(=O)N3C)N
5-bromo-3-hydroxypyridin-2(1H)-one	BrC1=CNC(=O)C(O)=C1
4-amino-2-[(4-sulfamoylphenyl)amino]-1,3-thiazole-5-carboxamide	O=S(=O)(N)c2ccc(Nc1nc(c(s1)C(=O)N)N)cc2
(3S)-1-{[4-(BUT-2-YN-1-YLOXY)PHENYL]SULFONYL}PYRROLIDINE-3-THIOL	O=S(=O)(c1ccc(OCC#CC)cc1)N2CCC(S)C2
(4S)-4-methyl-1,4,5,6-tetrahydropyridin-2-amine	NC1=CC(C)CCN1
(2R,4R,5R)-2,4,5-trimethyl-1,3-oxazolidine	O1C(C)C(NC1C)C
3-hydroxy-6-(3-methoxyphenyl)pyridin-2(5H)-one	O=C2N=C(c1cccc(OC)c1)CC=C2O
3-(5-hydroxy-6-oxo-1,6-dihydropyridin-3-yl)benzonitrile	O=C2C(O)=CC(c1cccc(C#N)c1)=CN2
(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol	Oc1ccc(cc1O)C3Oc2cc(O)cc(O)c2CC3O
(2R,3R)-3-hydroxy-2,4-dimethylpentanoic acid	O=C(O)C(C)C(O)C(C)C
(2E)-3-{(2S)-2-[(1R)-1-hydroxyethyl]oxiran-2-yl}prop-2-enoic acid	O=C(O)\C=C\C1(OC1)C(O)C
8-bromo-4H-[1,2,4]oxadiazolo[3,4-c][1,4]benzoxazin-1-one	Brc2ccc1OCC3=NOC(=O)N3c1c2
3-(3-tert-butyl-4-methoxyphenyl)pyridin-2(1H)-one	O=C2C(c1cc(c(OC)cc1)C(C)(C)C)=CC=CN2
N-[3-(4-benzylphenoxy)propyl]-N-methyl-beta-alanine	O=C(O)CCN(C)CCCOc1ccc(cc1)Cc2ccccc2
6-bromo-N-(prop-2-en-1-yl)quinazolin-4-amine	Brc2cc1c(ncnc1NC\C=C)cc2
1-{4-oxo-4-[(2S)-pyrrolidin-2-yl]butanoyl}-L-proline	O=C(N1C(C(=O)O)CCC1)CCC(=O)C2NCCC2
(3R,6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol	OC(/C=C)(CC/C=C(/CC/C=C(\C)C)C)C
O-[(R)-{[(3R)-3,4-dihydroxybutyl]oxy}(hydroxy)phosphoryl]-L-threonine	O=C(O)C(N)C(OP(=O)(OCCC(O)CO)O)C
3H-imidazo[2,1-b]purin-4(5H)-one	O=C3c1c(ncn1)n2c(ncc2)N3
prop-2-en-1-yl 7-O-carbamoyl-L-glycero-alpha-D-manno-heptopyranoside	O=C(OCC(O)C1OC(OC/C=C)C(O)C(O)C1O)N
N-(3-CYCLOPROPYL-1H-PYRAZOL-5-YL)-2-(2-NAPHTHYL)ACETAMIDE	O=C(Nc1cc(nn1)C2CC2)Cc4cc3ccccc3cc4
(2S,3S)-3-(4-fluorophenyl)-2,3-dihydroxypropanoic acid	Fc1ccc(cc1)C(O)C(O)C(=O)O
(3R)-3-amino-2,2-difluoro-3-(4-methoxyphenyl)propanoic acid	O=C(O)C(F)(F)C(c1ccc(OC)cc1)N
2,6-DIFORMYL-4-METHYLPHENYL DIHYDROGEN PHOSPHATE	O=P(Oc1c(cc(cc1C=O)C)C=O)(O)O
4-[4-(4-fluorophenyl)-1H-pyrazol-3-yl]pyridine	Fc3ccc(c2cnnc2c1ccncc1)cc3
(3S)-N-methyl-3-(naphthalen-1-yloxy)-3-(thiophen-2-yl)propan-1-amine	O(c1cccc2c1cccc2)C(c3sccc3)CCNC
2-(4-tert-butylphenyl)-1,4-dihydroquinazolin-4-one	O=C2c3ccccc3N=C(c1ccc(cc1)C(C)(C)C)N2
pyrimido[4,5-d]pyrimidine-2,4-diamine	n1cc2c(nc1)nc(nc2N)N
2-aminopyrimido[4,5-d]pyrimidin-4(3H)-one	O=C1c2cncnc2N=C(N)N1
4-[(1R)-2-(dimethylamino)-1-(1-hydroxycyclohexyl)ethyl]phenol	OC2(C(c1ccc(O)cc1)CN(C)C)CCCCC2
1,1',1''-(1,3,5-triazinane-1,3,5-triyl)tripropan-1-one	O=C(N1CN(C(=O)CC)CN(C(=O)CC)C1)CC
N,N',N''-benzene-1,3,5-triyltris(2-bromoacetamide)	O=C(Nc1cc(cc(c1)NC(=O)CBr)NC(=O)CBr)CBr
(5R)-5-(4-chlorophenyl)-2,5-dihydro-3H-imidazo[2,1-a]isoindol-5-ol	Clc1ccc(cc1)C4(O)c2c(cccc2)C3=NCCN34
2,9-N,N-DI(4-CARBOXYBUTYL)-7-N-METHYLGUANINE	O=C(O)CCCCNC1=Nc2c(C(=O)N1)n(c[n+]2CCCCC(=O)O)C
1-[(2R)-2-aminobutanoyl]-N-(4-carbamimidoylbenzyl)-L-prolinamide	O=C(NCc1ccc(C(=[N@H])N)cc1)C2N(C(=O)C(N)CC)CCC2
N-[(2S)-2-aminohexyl]-L-norleucine	O=C(O)C(NCC(N)CCCC)CCCC
(2S)-2-aminopropan-1-ol	C[C@H](N)CO
4-[4-(3-chlorophenyl)piperazin-1-yl]-4-oxobutane-1-thiol	O=C(N2CCN(c1cccc(Cl)c1)CC2)CCCS
(2R)-2-aminopropan-1-ol	OCC(N)C
5-(HYDROXYMETHYL)-2-METHOXYPHENOL	Oc1cc(ccc1OC)CO
4-(2-AMINOETHYL)BENZENESULFONIC ACID	O=S(O)c1ccc(cc1)CCN
2'-AMINO-2'-DEOXYADENOSINE	n2c1c(ncnc1n(c2)C3OC(C(O)C3N)CO)N
(2S)-2-aminopent-4-enoic acid	O=C(O)C(N)C/C=C
1-(2,5-DIOXO-2,5-DIHYDRO-1H-IMIDAZOL-4-YL)UREA	O=C1C(=NC(=O)N1)NC(=O)N
ADENOSINE-2'-MONOPHOSPHATE	O=P(O)(O)OC3C(O)C(OC3n2cnc1c(ncnc12)N)CO
8-ANILINO-1-NAPHTHALENE SULFONATE	O=S(=O)(O)c3cccc2cccc(Nc1ccccc1)c23
(2S)-2-AMINOHEXAN-1-OL	OCC(N)CCCC
2'-DEOXYARISTEROMYCIN-5'-PHOSPHATE	O=P(O)(O)OCC3CC(n1c2ncnc(c2nc1)N)CC3O
(2S,3S)-3-methyl-aspartic acid	O=C(O)C(C)C(N)C(=O)O
2'-AMINOURIDINE	O=C1NC(=O)N(C=C1)C2OC(C(O)C2N)COP(=O)(O)O
[2-(4-formyl-5-hydroxy-6-methylpyridin-3-yl)ethyl]phosphonic acid	O=P(O)(O)CCc1cnc(c(O)c1C=O)C
4-(2-methyl-1,3-thiazol-4-yl)-N-(3,3,3-trifluoropropyl)benzamide	FC(F)(F)CCNC(=O)c2ccc(c1nc(sc1)C)cc2
